max_depth,min_samples_split,criterion,threshold,training_size,gap,mean,std
5,2,mse,3161.0,0.1,16531.0,0.5917524082928715,0.06455241129907328
5,2,mse,3161.0,0.1,6245.622222222222,0.6024090916283062,0.12064577683597295
5,2,mse,3161.0,0.1,3122.811111111111,0.6362291041393683,0.12042292425862329
5,2,mse,3161.0,0.1,1561.4055555555556,0.6312855721725,0.10253368296549044
5,2,mse,3267.2,0.1,16531.0,0.7474957038558262,0.13289877715746157
5,2,mse,3267.2,0.1,6245.622222222222,0.7631759258287009,0.12280890718491069
5,2,mse,3267.2,0.1,3122.811111111111,0.7893263185328487,0.10913391778161434
5,2,mse,3267.2,0.1,1561.4055555555556,0.7288820144236949,0.10870360815859777
5,2,mse,5138.5,0.1,16531.0,1.0,0.0
5,2,mse,5138.5,0.1,6245.622222222222,1.0,0.0
5,2,mse,5138.5,0.1,3122.811111111111,0.9910495716034273,0.04002753264496258
5,2,mse,5138.5,0.1,1561.4055555555556,0.9722380909008749,0.06780813781126184
5,2,mse,5495.0,0.1,16531.0,0.8556904268631353,0.12328366858227391
5,2,mse,5495.0,0.1,6245.622222222222,0.859048656084294,0.12966309724549602
5,2,mse,5495.0,0.1,3122.811111111111,0.7984569242670623,0.17452526687967815
5,2,mse,5495.0,0.1,1561.4055555555556,0.8726925354949978,0.09816485640451451
5,2,mse,14728.699999999999,0.1,16531.0,0.7564104259409211,0.14149939889752156
5,2,mse,14728.699999999999,0.1,6245.622222222222,0.7573582605829551,0.14031441236313527
5,2,mse,14728.699999999999,0.1,3122.811111111111,0.7387370988910571,0.17575774973130415
5,2,mse,14728.699999999999,0.1,1561.4055555555556,0.7168203326441582,0.17416896245332283
5,2,mse,3161.0,0.2,16531.0,0.5945533357858231,0.08912420944526234
5,2,mse,3161.0,0.2,6245.622222222222,0.6356192824468436,0.09302984224503608
5,2,mse,3161.0,0.2,3122.811111111111,0.6253917277267768,0.08500638787306755
5,2,mse,3161.0,0.2,1561.4055555555556,0.6198034540261713,0.09645483523519216
5,2,mse,3267.2,0.2,16531.0,0.756176306490413,0.08650563647262795
5,2,mse,3267.2,0.2,6245.622222222222,0.7419855133886271,0.09125497079171778
5,2,mse,3267.2,0.2,3122.811111111111,0.7638695285105208,0.05320550678004923
5,2,mse,3267.2,0.2,1561.4055555555556,0.8004341828966494,0.06155968283694325
5,2,mse,5138.5,0.2,16531.0,1.0,0.0
5,2,mse,5138.5,0.2,6245.622222222222,1.0,0.0
5,2,mse,5138.5,0.2,3122.811111111111,1.0,0.0
5,2,mse,5138.5,0.2,1561.4055555555556,1.0,0.0
5,2,mse,5495.0,0.2,16531.0,0.9259694422409099,0.03343640082493545
5,2,mse,5495.0,0.2,6245.622222222222,0.918418340181691,0.027423759479642703
5,2,mse,5495.0,0.2,3122.811111111111,0.9041542451574479,0.016415197377085532
5,2,mse,5495.0,0.2,1561.4055555555556,0.9227007843113302,0.02841851526855749
5,2,mse,14728.699999999999,0.2,16531.0,0.847548986053377,0.08701865053126792
5,2,mse,14728.699999999999,0.2,6245.622222222222,0.8098949979445973,0.12997317817963036
5,2,mse,14728.699999999999,0.2,3122.811111111111,0.8163984954403858,0.13142254597055522
5,2,mse,14728.699999999999,0.2,1561.4055555555556,0.8207479196147374,0.11719779376282503
5,2,mse,3161.0,0.5,16531.0,0.5249185306126957,0.055465261512201935
5,2,mse,3161.0,0.5,6245.622222222222,0.5390259676301788,0.05148656162290366
5,2,mse,3161.0,0.5,3122.811111111111,0.5690477792069666,0.07170397143603909
5,2,mse,3161.0,0.5,1561.4055555555556,0.5487985098121576,0.07896467245121211
5,2,mse,3267.2,0.5,16531.0,0.6729723809058716,0.08975928360003003
5,2,mse,3267.2,0.5,6245.622222222222,0.6653245023108325,0.08848120625930139
5,2,mse,3267.2,0.5,3122.811111111111,0.6860279661367501,0.08433115207009184
5,2,mse,3267.2,0.5,1561.4055555555556,0.6886604604611504,0.09527053455443173
5,2,mse,5138.5,0.5,16531.0,1.0,0.0
