mean,std,max_depth,min_samples_split,criterion,threshold,training_size
0.5803893705731794,0.11564482794337597,5,10,friedman_mse,3161.0,0.2
0.7690868827887533,0.10470048905762111,5,10,friedman_mse,3267.2,0.2
0.9536884284864815,0.08236123429495332,5,10,friedman_mse,5138.5,0.2
0.8891183512367296,0.04421788777153956,5,10,friedman_mse,5495.0,0.2
0.8161566706624083,0.2151361100638059,5,10,friedman_mse,14728.699999999999,0.2
0.582273541657982,0.08498623563717148,5,10,friedman_mse,3161.0,0.5
0.8047179105344249,0.05626583073926293,5,10,friedman_mse,3267.2,0.5
1.0,0.0,5,10,friedman_mse,5138.5,0.5
0.9354663559550348,0.03591643317564073,5,10,friedman_mse,5495.0,0.5
0.8694916093767484,0.09068496895261025,5,10,friedman_mse,14728.699999999999,0.5
0.5733364590522989,0.0868044444266961,5,10,friedman_mse,3161.0,0.7
0.8055152652523263,0.07191975187218189,5,10,friedman_mse,3267.2,0.7
1.0,0.0,5,10,friedman_mse,5138.5,0.7
0.93099501696462,0.04872093779830516,5,10,friedman_mse,5495.0,0.7
0.9216407858015001,0.08415816010393122,5,10,friedman_mse,14728.699999999999,0.7
0.5,0.0,5,20,mse,3161.0,0.1
0.5,0.0,5,20,mse,3267.2,0.1
0.5,0.0,5,20,mse,5138.5,0.1
0.5,0.0,5,20,mse,5495.0,0.1
0.5,0.0,5,20,mse,14728.699999999999,0.1
0.5178846153846154,0.07998243150287711,5,20,mse,3161.0,0.2
0.7910488997556584,0.19557254381803338,5,20,mse,3267.2,0.2
0.8863375329742815,0.08590453558329929,5,20,mse,5138.5,0.2
0.8016239828521485,0.009321777788010202,5,20,mse,5495.0,0.2
0.5,0.0,5,20,mse,14728.699999999999,0.2
0.5387609716582585,0.07586662186468145,5,20,mse,3161.0,0.5
0.7886373222136506,0.10520942869897458,5,20,mse,3267.2,0.5
1.0,0.0,5,20,mse,5138.5,0.5
0.9078327796429576,0.036344614378982947,5,20,mse,5495.0,0.5
0.9537285444741952,0.04887862899972045,5,20,mse,14728.699999999999,0.5
0.5369030577265872,0.08650506874992314,5,20,mse,3161.0,0.7
0.7569208361497358,0.08874083180477199,5,20,mse,3267.2,0.7
1.0,0.0,5,20,mse,5138.5,0.7
0.9264643342768342,0.0349004836077454,5,20,mse,5495.0,0.7
0.8807727124460639,0.11691696348170898,5,20,mse,14728.699999999999,0.7
0.5,0.0,5,20,friedman_mse,3161.0,0.1
0.5,0.0,5,20,friedman_mse,3267.2,0.1
0.5,0.0,5,20,friedman_mse,5138.5,0.1
0.5,0.0,5,20,friedman_mse,5495.0,0.1
0.5,0.0,5,20,friedman_mse,14728.699999999999,0.1
0.5,0.0,5,20,friedman_mse,3161.0,0.2
0.7502689196316983,0.20971998582479015,5,20,friedman_mse,3267.2,0.2
0.9089867070386634,0.08456599280066375,5,20,friedman_mse,5138.5,0.2
0.8073870146487293,0.01724564886592021,5,20,friedman_mse,5495.0,0.2
0.5,0.0,5,20,friedman_mse,14728.699999999999,0.2
0.5142981656915442,0.04285239478562739,5,20,friedman_mse,3161.0,0.5
0.7713485695137642,0.08945175956217039,5,20,friedman_mse,3267.2,0.5
1.0,0.0,5,20,friedman_mse,5138.5,0.5
0.9069669350126848,0.0333932066439096,5,20,friedman_mse,5495.0,0.5
0.9642791651217448,0.00988407300575233,5,20,friedman_mse,14728.699999999999,0.5
0.5266683588328949,0.04796380629286918,5,20,friedman_mse,3161.0,0.7
