mean,std,max_depth,min_samples_split,criterion,threshold,n_options,training_size
0.5,0.0,5,2,mse,3161.0,1,0.1
0.5,0.0,5,2,mse,3267.2,1,0.1
0.5001541204129335,0.009093286995207834,5,2,mse,5138.5,1,0.1
0.7772257843290955,0.09529884457454454,5,2,mse,5495.0,1,0.1
0.5,0.0,5,2,mse,14728.699999999999,1,0.1
0.5544018296973962,0.13287416421061599,5,2,mse,3161.0,2,0.1
0.8530185009784932,0.1522259542901306,5,2,mse,3267.2,2,0.1
0.9913793103448276,0.03855289616378948,5,2,mse,5138.5,2,0.1
0.8889627237322925,0.09528577528278957,5,2,mse,5495.0,2,0.1
0.9107027910787563,0.14239776655964803,5,2,mse,14728.699999999999,2,0.1
0.5,0.0,5,2,mse,3161.0,3,0.1
0.7916275290495085,0.19591866674934938,5,2,mse,3267.2,3,0.1
1.0,0.0,5,2,mse,5138.5,3,0.1
0.91359841938975,0.009721967225748918,5,2,mse,5495.0,3,0.1
0.9402935808303073,0.10368640787861838,5,2,mse,14728.699999999999,3,0.1
0.5710231552666729,0.12832879057163987,5,2,mse,3161.0,4,0.1
0.7999686502996903,0.11672431322298847,5,2,mse,3267.2,4,0.1
0.9911764705882353,0.03946002313234924,5,2,mse,5138.5,4,0.1
0.8457557938891613,0.1513178417799525,5,2,mse,5495.0,4,0.1
0.7908178609185762,0.2209393810203386,5,2,mse,14728.699999999999,4,0.1
0.5875352808419856,0.10223786557121885,5,2,mse,3161.0,5,0.1
0.7746753778246402,0.09416390474755512,5,2,mse,3267.2,5,0.1
0.9907280219780219,0.0414655462860538,5,2,mse,5138.5,5,0.1
0.8755371030606025,0.11034135111652404,5,2,mse,5495.0,5,0.1
0.8220186814708551,0.17262970985366194,5,2,mse,14728.699999999999,5,0.1
0.5942197762627333,0.09899553703856176,5,2,mse,3161.0,6,0.1
0.7677388603569225,0.10837105588362253,5,2,mse,3267.2,6,0.1
1.0,0.0,5,2,mse,5138.5,6,0.1
0.9117184387007681,0.015120061086217478,5,2,mse,5495.0,6,0.1
