mean,std,max_depth,min_samples_split,criterion,threshold,training_size
0.5444613418772761,0.13685008847867763,5,2,mse,0.4789818690283407,0.1
0.5444613418772761,0.13685008847867763,5,2,mse,0.5280377897435898,0.1
0.5444613418772761,0.13685008847867763,5,2,mse,2.0888026153846146,0.1
0.5444613418772761,0.13685008847867763,5,2,mse,12.753920456410686,0.1
0.5444613418772761,0.13685008847867763,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
1.0,0.0,5,2,mse,12.753920456410686,0.1
1.0,0.0,5,2,mse,22.941577838460077,0.1
1.0,0.0,5,2,mse,0.4789818690283407,0.1
1.0,0.0,5,2,mse,0.5280377897435898,0.1
1.0,0.0,5,2,mse,2.0888026153846146,0.1
