max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,0.4789818690283407,0.1,1,0.5,0.0
5,2,gini,0.4789818690283407,0.1,2,0.5,0.0
5,2,gini,0.4789818690283407,0.1,3,0.5,0.0
5,2,gini,0.4789818690283407,0.1,4,0.7428850069882003,0.22540585282869188
5,2,gini,0.4789818690283407,0.1,5,0.7630040589493093,0.15455813161277657
5,2,gini,0.4789818690283407,0.1,6,0.8072558718207565,0.1516147058868806
5,2,gini,0.4789818690283407,0.1,7,0.9978351090770621,0.0007032527822162623
5,2,gini,0.4789818690283407,0.1,8,0.9978460207308937,0.0006567524347041445
5,2,gini,0.4789818690283407,0.1,9,0.9978218761285638,0.0006652295795329893
5,2,gini,0.4789818690283407,0.1,10,0.9977378336848887,0.0004834768261372579
5,2,gini,0.4789818690283407,0.1,11,0.9977057040525199,0.0005430123062763342
5,2,gini,0.4789818690283407,0.1,12,0.9978537730948203,0.0007380429023590311
5,2,gini,0.4789818690283407,0.1,13,0.9977000199220749,0.0004862097580000122
5,2,gini,0.4789818690283407,0.1,14,0.9976000057089589,7.122814571551641e-05
5,2,gini,0.4789818690283407,0.1,15,0.9947082320871358,0.014533179451624212
5,2,gini,0.4789818690283407,0.1,16,0.9977135009798712,0.00048702738723731644
5,2,gini,0.4789818690283407,0.1,17,0.9975846299356567,6.377212700355913e-05
5,2,gini,0.5280377897435898,0.1,1,0.5,0.0
5,2,gini,0.5280377897435898,0.1,2,0.7058088413871826,0.19100052580512247
5,2,gini,0.5280377897435898,0.1,3,0.9372431540755037,0.001330075341494434
5,2,gini,0.5280377897435898,0.1,4,0.8987539341828388,0.047622174067736174
5,2,gini,0.5280377897435898,0.1,5,0.890719758803756,0.06705079740436858
5,2,gini,0.5280377897435898,0.1,6,0.8862513041197795,0.05450109098341086
5,2,gini,0.5280377897435898,0.1,7,0.9342381809769231,0.029102893980793996
5,2,gini,0.5280377897435898,0.1,8,0.9276103476233933,0.04657092102853017
5,2,gini,0.5280377897435898,0.1,9,0.9395482296763558,0.048500799618511226
5,2,gini,0.5280377897435898,0.1,10,0.952886967522676,0.035417247625851786
5,2,gini,0.5280377897435898,0.1,11,0.929336006162844,0.06126712631225453
5,2,gini,0.5280377897435898,0.1,12,0.9479956676373489,0.0488217457767759
5,2,gini,0.5280377897435898,0.1,13,0.9330141966307016,0.043912353228069315
5,2,gini,0.5280377897435898,0.1,14,0.9113610869031976,0.0729186896749506
5,2,gini,0.5280377897435898,0.1,15,0.9238211387884678,0.05787529161940348
5,2,gini,0.5280377897435898,0.1,16,0.9210122153641036,0.05489246824221651
5,2,gini,0.5280377897435898,0.1,17,0.9208414832443477,0.06015915638035586
5,2,gini,2.0888026153846146,0.1,1,0.58896378727027,0.030515366254944467
5,2,gini,2.0888026153846146,0.1,2,0.900996458962353,0.001948132585420541
5,2,gini,2.0888026153846146,0.1,3,0.9006033643717084,0.001855591496632654
5,2,gini,2.0888026153846146,0.1,4,0.9003521336790975,0.0027136176388995745
5,2,gini,2.0888026153846146,0.1,5,0.899113979361208,0.0021720207987712963
5,2,gini,2.0888026153846146,0.1,6,0.898994663284413,0.002126445926859168
5,2,gini,2.0888026153846146,0.1,7,0.998480959438005,0.00033043760568806453
5,2,gini,2.0888026153846146,0.1,8,0.998437584043549,0.00021836299041327306
5,2,gini,2.0888026153846146,0.1,9,0.9978709585483084,0.0026828172239603534
5,2,gini,2.0888026153846146,0.1,10,0.9977195320654607,0.0028482688389785613
5,2,gini,2.0888026153846146,0.1,11,0.9978116989283669,0.0026431854638508737
5,2,gini,2.0888026153846146,0.1,12,0.9958646943381589,0.0050961455194893975
5,2,gini,2.0888026153846146,0.1,13,0.9943292543958819,0.006347750603516003
5,2,gini,2.0888026153846146,0.1,14,0.9959987844727658,0.003657386478299066
5,2,gini,2.0888026153846146,0.1,15,0.9948040771108569,0.005945958994633212
5,2,gini,2.0888026153846146,0.1,16,0.995903233096872,0.003520253616771316
5,2,gini,2.0888026153846146,0.1,17,0.9967295447377909,0.0034885648490865745
5,2,gini,12.753920456410686,0.1,1,0.5465541867707165,0.08275302547542893
5,2,gini,12.753920456410686,0.1,2,0.7510263014424703,0.003655675872708456
5,2,gini,12.753920456410686,0.1,3,1.0,0.0
5,2,gini,12.753920456410686,0.1,4,1.0,0.0
5,2,gini,12.753920456410686,0.1,5,1.0,0.0
5,2,gini,12.753920456410686,0.1,6,1.0,0.0
5,2,gini,12.753920456410686,0.1,7,1.0,0.0
5,2,gini,12.753920456410686,0.1,8,1.0,0.0
5,2,gini,12.753920456410686,0.1,9,1.0,0.0
5,2,gini,12.753920456410686,0.1,10,1.0,0.0
5,2,gini,12.753920456410686,0.1,11,1.0,0.0
5,2,gini,12.753920456410686,0.1,12,1.0,0.0
5,2,gini,12.753920456410686,0.1,13,1.0,0.0
5,2,gini,12.753920456410686,0.1,14,1.0,0.0
5,2,gini,12.753920456410686,0.1,15,1.0,0.0
5,2,gini,12.753920456410686,0.1,16,1.0,0.0
5,2,gini,12.753920456410686,0.1,17,1.0,0.0
5,2,gini,22.941577838460077,0.1,1,0.6108552718684949,0.1969959355199751
5,2,gini,22.941577838460077,0.1,2,1.0,0.0
5,2,gini,22.941577838460077,0.1,3,1.0,0.0
5,2,gini,22.941577838460077,0.1,4,1.0,0.0
5,2,gini,22.941577838460077,0.1,5,1.0,0.0
5,2,gini,22.941577838460077,0.1,6,1.0,0.0
5,2,gini,22.941577838460077,0.1,7,1.0,0.0
