max_depth,min_samples_split,criterion,threshold,training_size,n_options,mean,std
5,2,gini,45.1672,0.2,5,0.6428539259306405,0.028339262824066996
5,2,gini,45.1672,0.2,6,0.6574258553997929,0.03709289000415398
5,2,gini,45.1672,0.2,7,0.6636723515393971,0.049425592560627625
5,2,gini,45.1672,0.2,8,0.6416873331243325,0.02387120318896672
5,2,gini,45.1672,0.2,9,0.6351191397435123,0.011835232106486116
5,2,gini,45.1672,0.2,10,0.6449301726550154,0.0301185401986672
5,2,gini,45.1672,0.2,11,0.640837303542526,0.023781500085987957
5,2,gini,45.1672,0.2,12,0.6610346035397263,0.03856512014464011
5,2,gini,45.1672,0.2,13,0.6841788619688487,0.06692641880163747
5,2,gini,45.1672,0.2,14,0.65168158697982,0.030476467893790472
5,2,gini,45.1672,0.2,15,0.6556654521838106,0.03970267316528594
5,2,gini,45.1672,0.2,16,0.6471347340214357,0.0154527176739039
5,2,gini,45.1672,0.2,17,0.7620763106222248,0.03613792759189725
5,2,gini,45.1672,0.2,18,0.7155776646067143,0.08401529935579533
5,2,gini,45.1672,0.2,19,0.7648144925871037,0.05423840745314418
5,2,gini,45.1672,0.2,20,0.7534032202635642,0.08304128016969321
5,2,gini,45.1672,0.2,21,0.770022808518243,0.056976995832141386
5,2,gini,45.1672,0.2,22,0.7470789809142333,0.07332963742349444
5,2,gini,45.1672,0.2,23,0.7246190513274119,0.08189390524416179
5,2,gini,45.1672,0.2,24,0.765934278217956,0.066600414763995
5,2,gini,45.1672,0.2,25,0.7474217806567351,0.08101711106939974
5,2,gini,45.1672,0.2,26,0.7462490680236241,0.08592256901537426
5,2,gini,45.1672,0.2,27,0.7470709927995063,0.07675192559211692
5,2,gini,45.1672,0.2,28,0.7471666552650689,0.06753150325712683
5,2,gini,45.1672,0.2,29,0.7715828044847465,0.08238348527732851
5,2,gini,45.1672,0.2,30,0.7633383541668437,0.06277076280163628
5,2,gini,45.1672,0.2,31,0.7669863833204947,0.06364621461917284
5,2,gini,45.1672,0.2,32,0.7628843232402384,0.06380382742056512
5,2,gini,58.1726,0.2,1,0.5,0.0
5,2,gini,58.1726,0.2,2,0.5,0.0
5,2,gini,58.1726,0.2,3,0.5581962477802415,0.011551594957395064
5,2,gini,58.1726,0.2,4,0.5891248442540956,0.013917424757213531
5,2,gini,58.1726,0.2,5,0.6602353467567379,0.014823640781284248
5,2,gini,58.1726,0.2,6,0.6678160190369612,0.008093784012058671
5,2,gini,58.1726,0.2,7,0.6627454350215051,0.01595470190181866
5,2,gini,58.1726,0.2,8,0.6692051385467227,0.016672978479118947
5,2,gini,58.1726,0.2,9,0.6751632478598246,0.01811327315380008
5,2,gini,58.1726,0.2,10,0.6733762336510088,0.013903546367171782
5,2,gini,58.1726,0.2,11,0.6648415088103199,0.012632551488231407
5,2,gini,58.1726,0.2,12,0.6788508967515505,0.013504444165658349
5,2,gini,58.1726,0.2,13,0.6808990860040984,0.015145065864660277
5,2,gini,58.1726,0.2,14,0.6786829421723672,0.014140985459576108
5,2,gini,58.1726,0.2,15,0.6788404175043972,0.012022438022947973
5,2,gini,58.1726,0.2,16,0.6817805091357048,0.014379482976881788
5,2,gini,58.1726,0.2,17,0.6776514064363244,0.015690851723061325
5,2,gini,58.1726,0.2,18,0.6800885279300951,0.012483587070468247
