max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,5,gini,45.1672,0.1,0.7656238752813872,0.07831279670644295
5,5,gini,58.1726,0.1,0.6872183016909903,0.011735721479259656
5,5,gini,22.464,0.2,0.7243593897913196,0.00576159766299526
5,5,gini,23.3968,0.2,0.6438584681222805,0.0032027941089413643
5,5,gini,30.396,0.2,0.8959500437541792,0.0025369508666746882
5,5,gini,45.1672,0.2,0.7851321828661307,0.011969859940495004
5,5,gini,58.1726,0.2,0.6968496471105127,0.01476410952619978
5,5,gini,22.464,0.5,0.7282290716498451,0.01111002590872326
5,5,gini,23.3968,0.5,0.6966852475682155,0.10721605716917999
5,5,gini,30.396,0.5,0.9040867052165977,0.0022779318709999926
5,5,gini,45.1672,0.5,0.744059992005881,0.06981765435433279
5,5,gini,58.1726,0.5,0.6931694186434985,0.01866976359393217
5,5,gini,22.464,0.7,0.7320225524872512,0.009915357733329019
5,5,gini,23.3968,0.7,0.6491294606747849,0.009786084843741154
5,5,gini,30.396,0.7,0.906211240652868,0.0014000490638126325
5,5,gini,45.1672,0.7,0.7843515445655873,0.008395200606415016
5,5,gini,58.1726,0.7,0.6969023563537027,0.015293592182083416
5,5,entropy,22.464,0.1,0.7246365407761899,0.008181640828123744
5,5,entropy,23.3968,0.1,0.7292737442507387,0.14179976455013707
5,5,entropy,30.396,0.1,0.897589455445041,0.0029114671240483675
5,5,entropy,45.1672,0.1,0.7049128702548112,0.10673017565647282
5,5,entropy,58.1726,0.1,0.6875178253717251,0.01720197011892204
5,5,entropy,22.464,0.2,0.7259587330946171,0.007255269061791202
5,5,entropy,23.3968,0.2,0.7416877394359925,0.13412531163315933
5,5,entropy,30.396,0.2,0.897756392396243,0.0030473438423917983
5,5,entropy,45.1672,0.2,0.7158229457994091,0.12349003591086412
5,5,entropy,58.1726,0.2,0.667712457225426,0.01918905358925176
5,5,entropy,22.464,0.5,0.7282290510444421,0.005579305587894267
5,5,entropy,23.3968,0.5,0.6933834791227348,0.11016764134596368
5,5,entropy,30.396,0.5,0.901009087518155,0.0019285478128341278
5,5,entropy,45.1672,0.5,0.6944909997348796,0.09962537648825323
5,5,entropy,58.1726,0.5,0.6758779099745831,0.016744536460236503
5,5,entropy,22.464,0.7,0.7309389874524573,0.007029723801236009
5,5,entropy,23.3968,0.7,0.7945807235827678,0.12862595109707597
5,5,entropy,30.396,0.7,0.8956630188755904,0.0018940114570967076
5,5,entropy,45.1672,0.7,0.7282910133404458,0.0767960828806332
5,5,entropy,58.1726,0.7,0.66372570075245,0.011874176441057807
5,10,gini,22.464,0.1,0.7067754357730444,0.026966528830228532
5,10,gini,23.3968,0.1,0.6927239202957565,0.10938938486582787
5,10,gini,30.396,0.1,0.8929560019130625,0.004979698405080513
5,10,gini,45.1672,0.1,0.7745812379993651,0.009557265069655605
5,10,gini,58.1726,0.1,0.6879625376934081,0.02247943925369173
5,10,gini,22.464,0.2,0.7230201273946251,0.006503298009589558
5,10,gini,23.3968,0.2,0.6333680786265432,0.01932080503998515
5,10,gini,30.396,0.2,0.8984736319871882,0.0035896180293728073
5,10,gini,45.1672,0.2,0.7889827366426606,0.028077864772436997
5,10,gini,58.1726,0.2,0.6869199378597142,0.012577812987149859
5,10,gini,22.464,0.5,0.7399985245395228,0.0054222425841554895
5,10,gini,23.3968,0.5,0.695492025233767,0.1092530241820075
5,10,gini,30.396,0.5,0.9040711625645284,0.004280055912846852
5,10,gini,45.1672,0.5,0.737612417662515,0.08782119986772405
5,10,gini,58.1726,0.5,0.6993271006093771,0.0029985059448178466
5,10,gini,22.464,0.7,0.728678795438389,0.012089700563570019
5,10,gini,23.3968,0.7,0.6500184044280488,0.00497832245715697
5,10,gini,30.396,0.7,0.9010228083261242,0.005703281047892405
5,10,gini,45.1672,0.7,0.7371405966651081,0.09177394293253609
5,10,gini,58.1726,0.7,0.6950128003752107,0.006302246569107538
5,10,entropy,22.464,0.1,0.7235758248442085,0.003662083878626426
5,10,entropy,23.3968,0.1,0.681577625625523,0.1176575680123261
5,10,entropy,30.396,0.1,0.892874693224049,0.004541138062879481
5,10,entropy,45.1672,0.1,0.7169581440172582,0.12558651356821052
5,10,entropy,58.1726,0.1,0.6604692709507675,0.032349547842267914
5,10,entropy,22.464,0.2,0.7312174744589752,0.004047808480198555
5,10,entropy,23.3968,0.2,0.6934126491364362,0.10873552149355419
5,10,entropy,30.396,0.2,0.8996220352911075,0.002192275922676541
5,10,entropy,45.1672,0.2,0.7469833754849441,0.07685902940436679
5,10,entropy,58.1726,0.2,0.6852756295006047,0.014300911905103035
5,10,entropy,22.464,0.5,0.7290791604273676,0.00895717082827393
5,10,entropy,23.3968,0.5,0.7464671976000314,0.13456721538298172
5,10,entropy,30.396,0.5,0.9003767860917599,0.0029556297037818986
5,10,entropy,45.1672,0.5,0.7320843999732729,0.08229972009719401
5,10,entropy,58.1726,0.5,0.6715600953316603,0.009480048977495846
5,10,entropy,22.464,0.7,0.7391912088595243,0.00856228528799109
5,10,entropy,23.3968,0.7,0.8422700833070709,0.1063732625075587
5,10,entropy,30.396,0.7,0.902694733172558,0.007051055759085751
5,10,entropy,45.1672,0.7,0.658578551891418,0.09464864987605175
5,10,entropy,58.1726,0.7,0.6692209536691952,0.013261598658415207
5,20,gini,22.464,0.1,0.73832330155454,0.023408865202933674
5,20,gini,23.3968,0.1,0.6390149299456883,0.003033509117755374
5,20,gini,30.396,0.1,0.8870088793491341,0.006370773657054978
5,20,gini,45.1672,0.1,0.7112022423811355,0.10565519848728305
5,20,gini,58.1726,0.1,0.676453982399132,0.01532891825145633
5,20,gini,22.464,0.2,0.7334392099495736,0.020235639025767138
5,20,gini,23.3968,0.2,0.6421575531195431,0.00269511057094928
5,20,gini,30.396,0.2,0.894341512119636,0.002442309484337273
5,20,gini,45.1672,0.2,0.6832232512265548,0.09514919225137437
5,20,gini,58.1726,0.2,0.6862216584167303,0.011929864143972603
5,20,gini,22.464,0.5,0.7298794475580548,0.004146139953084549
5,20,gini,23.3968,0.5,0.6472698295354812,0.007466925925380061
5,20,gini,30.396,0.5,0.9012509915795238,0.004276109147029994
