max_depth,min_samples_split,criterion,threshold,training_size,gap,mean,std
5,2,mse,22.464,0.1,121.338,0.5865430197880835,0.028369515317293394
5,2,mse,22.464,0.1,35.690020763811646,0.5609097281520434,0.05093793230495256
5,2,mse,22.464,0.1,17.845010381905823,0.5417204743681358,0.04650489399756326
5,2,mse,22.464,0.1,8.922505190952911,0.5160103114417041,0.03299114249603776
5,2,mse,23.3968,0.1,121.338,0.5414282948609132,0.04181013335309782
5,2,mse,23.3968,0.1,35.690020763811646,0.5105514867038756,0.01823520243026933
5,2,mse,23.3968,0.1,17.845010381905823,0.501333072160442,0.0012577290486169338
5,2,mse,23.3968,0.1,8.922505190952911,0.5013367851767228,0.0014356327863971562
5,2,mse,30.396,0.1,121.338,0.581766746676394,0.12259150532960297
5,2,mse,30.396,0.1,35.690020763811646,0.824518075115269,0.0291218152033959
5,2,mse,30.396,0.1,17.845010381905823,0.8315854474277276,0.030220471975954045
5,2,mse,30.396,0.1,8.922505190952911,0.8754007970681817,0.0066390301263835995
5,2,mse,45.1672,0.1,121.338,0.8333449704049464,0.00874437521457455
5,2,mse,45.1672,0.1,35.690020763811646,0.8299138277816154,0.010160384406873769
5,2,mse,45.1672,0.1,17.845010381905823,0.8122702072280943,0.023540270512628806
5,2,mse,45.1672,0.1,8.922505190952911,0.8122547084820392,0.01940462543309371
5,2,mse,58.1726,0.1,121.338,0.8693579295723932,0.04039643951688476
5,2,mse,58.1726,0.1,35.690020763811646,0.746756934382215,0.06726493007293084
5,2,mse,58.1726,0.1,17.845010381905823,0.6966556212196365,0.028767674620886058
5,2,mse,58.1726,0.1,8.922505190952911,0.6788255685195702,0.019746934597377155
5,2,mse,22.464,0.2,121.338,0.5360168852745604,0.03183745042923145
5,2,mse,22.464,0.2,35.690020763811646,0.523811973523644,0.029546079782141202
5,2,mse,22.464,0.2,17.845010381905823,0.5170945561133069,0.03050545307219825
5,2,mse,22.464,0.2,8.922505190952911,0.5039884845313666,0.01783704507868426
5,2,mse,23.3968,0.2,121.338,0.5199587055474455,0.03033284473185625
5,2,mse,23.3968,0.2,35.690020763811646,0.509027623234601,0.02222323292501916
5,2,mse,23.3968,0.2,17.845010381905823,0.5021388982190021,0.0012880106066635302
5,2,mse,23.3968,0.2,8.922505190952911,0.5013384223658398,0.0014066023441953663
5,2,mse,30.396,0.2,121.338,0.5250920392601632,0.06758242427012046
5,2,mse,30.396,0.2,35.690020763811646,0.815240907932739,0.012757927507691598
5,2,mse,30.396,0.2,17.845010381905823,0.8202069298220362,0.01954333671140737
5,2,mse,30.396,0.2,8.922505190952911,0.875518802166478,0.004134532057252948
5,2,mse,45.1672,0.2,121.338,0.8379655966958766,0.008216075536403517
5,2,mse,45.1672,0.2,35.690020763811646,0.8304679842191838,0.005444011537381773
5,2,mse,45.1672,0.2,17.845010381905823,0.8165227624655602,0.02102399106768295
5,2,mse,45.1672,0.2,8.922505190952911,0.8188494317091921,0.016213664222851216
5,2,mse,58.1726,0.2,121.338,0.8785292733165722,0.03905847091277112
5,2,mse,58.1726,0.2,35.690020763811646,0.778668971657004,0.06238986988101911
5,2,mse,58.1726,0.2,17.845010381905823,0.6913583627956031,0.014983513198745512
5,2,mse,58.1726,0.2,8.922505190952911,0.6875776899922094,0.01723452380216919
5,2,mse,22.464,0.5,121.338,0.5089590540854061,0.02191575543466017
5,2,mse,22.464,0.5,35.690020763811646,0.5099061567816847,0.021124232905835236
5,2,mse,22.464,0.5,17.845010381905823,0.5,0.0
5,2,mse,22.464,0.5,8.922505190952911,0.5,0.0
5,2,mse,23.3968,0.5,121.338,0.5338924885869782,0.04342499243566112
5,2,mse,23.3968,0.5,35.690020763811646,0.5026302462158818,0.0010704366338481553
5,2,mse,23.3968,0.5,17.845010381905823,0.5025092856284624,0.0008505696887943267
5,2,mse,23.3968,0.5,8.922505190952911,0.5020734623547207,0.0011969919879358153
5,2,mse,30.396,0.5,121.338,0.5065222539449094,0.0018525426995964754
5,2,mse,30.396,0.5,35.690020763811646,0.8112090176504605,0.004540134213274362
5,2,mse,30.396,0.5,17.845010381905823,0.8144040908428313,0.004820971771027071
5,2,mse,30.396,0.5,8.922505190952911,0.8744034582486281,0.0026140337210713255
5,2,mse,45.1672,0.5,121.338,0.8325768055501884,0.0050579932906994265
5,2,mse,45.1672,0.5,35.690020763811646,0.8268505857212451,0.0038523558955758153
5,2,mse,45.1672,0.5,17.845010381905823,0.8199496519597794,0.017401363137114725
5,2,mse,45.1672,0.5,8.922505190952911,0.8192036763007972,0.016219483123594156
5,2,mse,58.1726,0.5,121.338,0.8881536009647256,0.0165256020036374
5,2,mse,58.1726,0.5,35.690020763811646,0.8095790100591268,0.03651975736114596
5,2,mse,58.1726,0.5,17.845010381905823,0.6954198249145092,0.019287693167482897
5,2,mse,58.1726,0.5,8.922505190952911,0.6732291929043037,0.015857295803122545
5,2,mse,22.464,0.7,121.338,0.5,0.0
5,2,mse,22.464,0.7,35.690020763811646,0.5124427108093081,0.025631004286014
5,2,mse,22.464,0.7,17.845010381905823,0.5,0.0
5,2,mse,22.464,0.7,8.922505190952911,0.5,0.0
5,2,mse,23.3968,0.7,121.338,0.511681735524601,0.021436453810402323
5,2,mse,23.3968,0.7,35.690020763811646,0.5024280661738787,0.0007109202129659168
5,2,mse,23.3968,0.7,17.845010381905823,0.5024716900882004,0.0007643857802338231
5,2,mse,23.3968,0.7,8.922505190952911,0.5020810361738512,0.0009986496867081627
5,2,mse,30.396,0.7,121.338,0.5066475699359974,0.0021089517368260997
5,2,mse,30.396,0.7,35.690020763811646,0.8115218105889023,0.007189350870784612
5,2,mse,30.396,0.7,17.845010381905823,0.81302051838125,0.005751416359112138
5,2,mse,30.396,0.7,8.922505190952911,0.8726326124870594,0.005736961440890104
5,2,mse,45.1672,0.7,121.338,0.8339327721451216,0.004571590086284047
5,2,mse,45.1672,0.7,35.690020763811646,0.8281837508087342,0.007196595837372624
5,2,mse,45.1672,0.7,17.845010381905823,0.8224654043337012,0.012481460144434726
5,2,mse,45.1672,0.7,8.922505190952911,0.8169289801140902,0.014528190745782443
5,2,mse,58.1726,0.7,121.338,0.8906502451201177,0.004743848434696154
5,2,mse,58.1726,0.7,35.690020763811646,0.8010727087363729,0.04204451271197398
5,2,mse,58.1726,0.7,17.845010381905823,0.6856788610670229,0.01790966686925365
5,2,mse,58.1726,0.7,8.922505190952911,0.6759289633202019,0.012677007276432192
5,2,friedman_mse,22.464,0.1,121.338,0.5803750358421141,0.05001100891049032
5,2,friedman_mse,22.464,0.1,35.690020763811646,0.5681250732565924,0.044590532320153475
5,2,friedman_mse,22.464,0.1,17.845010381905823,0.5469559088556365,0.036763895514510155
5,2,friedman_mse,22.464,0.1,8.922505190952911,0.5265759030257363,0.0377590366185814
5,2,friedman_mse,23.3968,0.1,121.338,0.5541054131285688,0.04386267735839915
5,2,friedman_mse,23.3968,0.1,35.690020763811646,0.5112280125826898,0.018762638277946372
5,2,friedman_mse,23.3968,0.1,17.845010381905823,0.5042439892055398,0.010364834836311641
5,2,friedman_mse,23.3968,0.1,8.922505190952911,0.5013076030888735,0.001394238208038262
5,2,friedman_mse,30.396,0.1,121.338,0.5855617416441454,0.13296123073581267
5,2,friedman_mse,30.396,0.1,35.690020763811646,0.814297515500982,0.014276088491921638
5,2,friedman_mse,30.396,0.1,17.845010381905823,0.829549895912221,0.035358433979098165
5,2,friedman_mse,30.396,0.1,8.922505190952911,0.8714487979796166,0.016175685456241085
5,2,friedman_mse,45.1672,0.1,121.338,0.8340469274491303,0.00718494432267392
5,2,friedman_mse,45.1672,0.1,35.690020763811646,0.8314687994893593,0.009702045070684838
5,2,friedman_mse,45.1672,0.1,17.845010381905823,0.8172614961886409,0.0231785357382124
5,2,friedman_mse,45.1672,0.1,8.922505190952911,0.8101913446224577,0.02342617633358856
5,2,friedman_mse,58.1726,0.1,121.338,0.8752982102506894,0.035869804441651505
5,2,friedman_mse,58.1726,0.1,35.690020763811646,0.7696643744981649,0.061406051893704613
5,2,friedman_mse,58.1726,0.1,17.845010381905823,0.6862430293875661,0.020296069816477046
5,2,friedman_mse,58.1726,0.1,8.922505190952911,0.683242426678527,0.01711506811051862
5,2,friedman_mse,22.464,0.2,121.338,0.5398286892909692,0.029004178723574144
5,2,friedman_mse,22.464,0.2,35.690020763811646,0.5320207929936756,0.030772492332166706
5,2,friedman_mse,22.464,0.2,17.845010381905823,0.518726293205874,0.029750671402638578
5,2,friedman_mse,22.464,0.2,8.922505190952911,0.5121292201351021,0.029623571591100156
5,2,friedman_mse,23.3968,0.2,121.338,0.5471620456028286,0.03906865292899069
5,2,friedman_mse,23.3968,0.2,35.690020763811646,0.5137581276567409,0.029600265927113595
5,2,friedman_mse,23.3968,0.2,17.845010381905823,0.5024292658736138,0.0008746117705372083
5,2,friedman_mse,23.3968,0.2,8.922505190952911,0.5014246802487933,0.0013423030378231391
5,2,friedman_mse,30.396,0.2,121.338,0.5406010428055817,0.0913085512099702
5,2,friedman_mse,30.396,0.2,35.690020763811646,0.8148590170092147,0.01384705594793107
5,2,friedman_mse,30.396,0.2,17.845010381905823,0.8107027959467711,0.004072494110446561
5,2,friedman_mse,30.396,0.2,8.922505190952911,0.8768063418886308,0.005317008558044074
5,2,friedman_mse,45.1672,0.2,121.338,0.8373787456896287,0.010654004678970633
5,2,friedman_mse,45.1672,0.2,35.690020763811646,0.8309309864859763,0.008416643376408546
5,2,friedman_mse,45.1672,0.2,17.845010381905823,0.8120352431454645,0.02076600810806226
5,2,friedman_mse,45.1672,0.2,8.922505190952911,0.8188311173299649,0.019553133683765767
5,2,friedman_mse,58.1726,0.2,121.338,0.8837908911534698,0.0211611967357864
5,2,friedman_mse,58.1726,0.2,35.690020763811646,0.8057238197174982,0.05076802251203096
5,2,friedman_mse,58.1726,0.2,17.845010381905823,0.6909721430143776,0.022038886355832957
5,2,friedman_mse,58.1726,0.2,8.922505190952911,0.6915281826419495,0.018915058888223913
5,2,friedman_mse,22.464,0.5,121.338,0.503007230910339,0.01344874547911325
5,2,friedman_mse,22.464,0.5,35.690020763811646,0.5090821912474394,0.020298866740988977
5,2,friedman_mse,22.464,0.5,17.845010381905823,0.5028686436840134,0.012828964561358803
5,2,friedman_mse,22.464,0.5,8.922505190952911,0.5044342427175568,0.019830536290380497
5,2,friedman_mse,23.3968,0.5,121.338,0.5049813953474636,0.0015464265302207322
5,2,friedman_mse,23.3968,0.5,35.690020763811646,0.5028385229685864,0.0007083893632326633
5,2,friedman_mse,23.3968,0.5,17.845010381905823,0.5024653337987134,0.0004126474262699442
5,2,friedman_mse,23.3968,0.5,8.922505190952911,0.5027240620707075,0.0008104448940677711
5,2,friedman_mse,30.396,0.5,121.338,0.5067510654035321,0.002322572447866848
5,2,friedman_mse,30.396,0.5,35.690020763811646,0.8135498292356347,0.007082988875431665
5,2,friedman_mse,30.396,0.5,17.845010381905823,0.8130167555783541,0.005213098427891664
5,2,friedman_mse,30.396,0.5,8.922505190952911,0.8748101216393811,0.0035194196037921506
5,2,friedman_mse,45.1672,0.5,121.338,0.8366441772964828,0.007704030865477251
5,2,friedman_mse,45.1672,0.5,35.690020763811646,0.828820812283013,0.005427169884685628
5,2,friedman_mse,45.1672,0.5,17.845010381905823,0.824109642346615,0.010072919390647545
5,2,friedman_mse,45.1672,0.5,8.922505190952911,0.8169035856425759,0.014774247810196182
5,2,friedman_mse,58.1726,0.5,121.338,0.890704257449719,0.004664596835281478
5,2,friedman_mse,58.1726,0.5,35.690020763811646,0.8181708331712191,0.01324483566610301
5,2,friedman_mse,58.1726,0.5,17.845010381905823,0.6913485564677788,0.01550600793100794
5,2,friedman_mse,58.1726,0.5,8.922505190952911,0.6758831036226736,0.015666499793653182
5,2,friedman_mse,22.464,0.7,121.338,0.502833254146392,0.012670697737731655
5,2,friedman_mse,22.464,0.7,35.690020763811646,0.5092851542617486,0.02188690157067012
5,2,friedman_mse,22.464,0.7,17.845010381905823,0.5,0.0
5,2,friedman_mse,22.464,0.7,8.922505190952911,0.5,0.0
5,2,friedman_mse,23.3968,0.7,121.338,0.514415936274631,0.02675316830234248
5,2,friedman_mse,23.3968,0.7,35.690020763811646,0.5021960024801035,0.0008821520921292503
5,2,friedman_mse,23.3968,0.7,17.845010381905823,0.5024433826106565,0.0010425459963016013
5,2,friedman_mse,23.3968,0.7,8.922505190952911,0.5027271191762892,0.0010515153720846407
5,2,friedman_mse,30.396,0.7,121.338,0.5068259509435251,0.0030478430441178714
5,2,friedman_mse,30.396,0.7,35.690020763811646,0.8135865063128292,0.008507853188400308
5,2,friedman_mse,30.396,0.7,17.845010381905823,0.8135978811388854,0.007134444333709471
