mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.5,0.0,5,2,mse,22.464,0.1,32
0.500020937693898,9.363621369628892e-05,5,2,mse,23.3968,0.1,32
0.8784945523306208,0.005759109283572437,5,2,mse,30.396,0.1,32
0.7943851329572424,0.04033587989412912,5,2,mse,45.1672,0.1,32
0.6769239019612026,0.016567566565804895,5,2,mse,58.1726,0.1,32
0.5,0.0,5,2,mse,22.464,0.2,32
0.5,0.0,5,2,mse,23.3968,0.2,32
0.8789143101375597,0.005059378562769204,5,2,mse,30.396,0.2,32
0.8020050642906125,0.02235205067054711,5,2,mse,45.1672,0.2,32
0.6704485877059356,0.014614272657622572,5,2,mse,58.1726,0.2,32
0.5,0.0,5,2,mse,22.464,0.5,32
0.5,0.0,5,2,mse,23.3968,0.5,32
0.8815026128851058,0.002693175233592429,5,2,mse,30.396,0.5,32
0.8139715115842125,0.015608091853204338,5,2,mse,45.1672,0.5,32
0.6660348833188787,0.013044979261356332,5,2,mse,58.1726,0.5,32
0.5,0.0,5,2,mse,22.464,0.7,32
0.5,0.0,5,2,mse,23.3968,0.7,32
0.8813726805469179,0.005199426195267793,5,2,mse,30.396,0.7,32
0.8109597937974492,0.01757237652185609,5,2,mse,45.1672,0.7,32
0.6663949480446402,0.010348897605340643,5,2,mse,58.1726,0.7,32
0.5,0.0,5,2,friedman_mse,22.464,0.1,32
0.5,0.0,5,2,friedman_mse,23.3968,0.1,32
0.8741063229247257,0.008040178920529299,5,2,friedman_mse,30.396,0.1,32
0.7963315537418024,0.05692641402493084,5,2,friedman_mse,45.1672,0.1,32
0.6698579586069068,0.01187170722350011,5,2,friedman_mse,58.1726,0.1,32
0.5,0.0,5,2,friedman_mse,22.464,0.2,32
0.5,0.0,5,2,friedman_mse,23.3968,0.2,32
0.8799509832399195,0.004835637417515616,5,2,friedman_mse,30.396,0.2,32
0.8124979442899847,0.016772543535385515,5,2,friedman_mse,45.1672,0.2,32
0.6741858982079668,0.016403654631844882,5,2,friedman_mse,58.1726,0.2,32
0.5,0.0,5,2,friedman_mse,22.464,0.5,32
0.5,0.0,5,2,friedman_mse,23.3968,0.5,32
0.8808122740284776,0.004615586972678693,5,2,friedman_mse,30.396,0.5,32
0.8082124579078975,0.023333899109546197,5,2,friedman_mse,45.1672,0.5,32
0.6675604276276579,0.010900062899003271,5,2,friedman_mse,58.1726,0.5,32
0.5,0.0,5,2,friedman_mse,22.464,0.7,32
0.5,0.0,5,2,friedman_mse,23.3968,0.7,32
0.8795138465897934,0.0042724699114707965,5,2,friedman_mse,30.396,0.7,32
0.8061295107119445,0.018102721979486674,5,2,friedman_mse,45.1672,0.7,32
0.6686017490564659,0.014776724013113977,5,2,friedman_mse,58.1726,0.7,32
0.5,0.0,5,5,mse,22.464,0.1,32
0.5,0.0,5,5,mse,23.3968,0.1,32
0.8776114337621479,0.005692574571613774,5,5,mse,30.396,0.1,32
0.8028793288422417,0.036658374190862576,5,5,mse,45.1672,0.1,32
0.6749008130432561,0.020118786748240382,5,5,mse,58.1726,0.1,32
0.5,0.0,5,5,mse,22.464,0.2,32
0.5,0.0,5,5,mse,23.3968,0.2,32
0.8793776212011162,0.004076352003335885,5,5,mse,30.396,0.2,32
0.8084082209733351,0.03586903716183184,5,5,mse,45.1672,0.2,32
0.6772160535643843,0.0187982299207031,5,5,mse,58.1726,0.2,32
0.5,0.0,5,5,mse,22.464,0.5,32
0.5,0.0,5,5,mse,23.3968,0.5,32
0.880743259911631,0.0029647707779783226,5,5,mse,30.396,0.5,32
0.8086430937055571,0.01604620706056682,5,5,mse,45.1672,0.5,32
