mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.8273064701637386,0.050967729298145394,5,2,mse,7395.555571428571,0.1,10
0.8273064701637386,0.050967729298145394,5,2,mse,8465.152999999998,0.1,10
0.8273064701637386,0.050967729298145394,5,2,mse,10259.905357142854,0.1,10
0.8273064701637386,0.050967729298145394,5,2,mse,11656.234285714285,0.1,10
0.8273064701637386,0.050967729298145394,5,2,mse,13508.177857142859,0.1,10
0.8577463464918467,0.04893969435564607,5,2,mse,7395.555571428571,0.2,10
0.8577463464918467,0.04893969435564607,5,2,mse,8465.152999999998,0.2,10
0.8577463464918467,0.04893969435564607,5,2,mse,10259.905357142854,0.2,10
0.8577463464918467,0.04893969435564607,5,2,mse,11656.234285714285,0.2,10
0.8577463464918467,0.04893969435564607,5,2,mse,13508.177857142859,0.2,10
0.8669070365508984,0.04575963178821801,5,2,mse,7395.555571428571,0.5,10
0.8669070365508984,0.04575963178821801,5,2,mse,8465.152999999998,0.5,10
0.8669070365508984,0.04575963178821801,5,2,mse,10259.905357142854,0.5,10
0.8669070365508984,0.04575963178821801,5,2,mse,11656.234285714285,0.5,10
0.8669070365508984,0.04575963178821801,5,2,mse,13508.177857142859,0.5,10
0.8934501868122069,0.032135469021859986,5,2,mse,7395.555571428571,0.8,10
0.8934501868122069,0.032135469021859986,5,2,mse,8465.152999999998,0.8,10
0.8934501868122069,0.032135469021859986,5,2,mse,10259.905357142854,0.8,10
0.8934501868122069,0.032135469021859986,5,2,mse,11656.234285714285,0.8,10
0.8934501868122069,0.032135469021859986,5,2,mse,13508.177857142859,0.8,10
0.892891467271955,0.044848356251386876,5,2,mse,7395.555571428571,0.9,10
0.892891467271955,0.044848356251386876,5,2,mse,8465.152999999998,0.9,10
0.892891467271955,0.044848356251386876,5,2,mse,10259.905357142854,0.9,10
0.892891467271955,0.044848356251386876,5,2,mse,11656.234285714285,0.9,10
0.892891467271955,0.044848356251386876,5,2,mse,13508.177857142859,0.9,10
0.8054555842888703,0.043912602700070996,5,2,friedman_mse,7395.555571428571,0.1,10
0.8054555842888703,0.043912602700070996,5,2,friedman_mse,8465.152999999998,0.1,10
0.8054555842888703,0.043912602700070996,5,2,friedman_mse,10259.905357142854,0.1,10
0.8054555842888703,0.043912602700070996,5,2,friedman_mse,11656.234285714285,0.1,10
0.8054555842888703,0.043912602700070996,5,2,friedman_mse,13508.177857142859,0.1,10
0.837201017660532,0.055228879688366046,5,2,friedman_mse,7395.555571428571,0.2,10
0.837201017660532,0.055228879688366046,5,2,friedman_mse,8465.152999999998,0.2,10
0.837201017660532,0.055228879688366046,5,2,friedman_mse,10259.905357142854,0.2,10
0.837201017660532,0.055228879688366046,5,2,friedman_mse,11656.234285714285,0.2,10
0.837201017660532,0.055228879688366046,5,2,friedman_mse,13508.177857142859,0.2,10
0.8681802376734525,0.03892800975208896,5,2,friedman_mse,7395.555571428571,0.5,10
0.8681802376734525,0.03892800975208896,5,2,friedman_mse,8465.152999999998,0.5,10
0.8681802376734525,0.03892800975208896,5,2,friedman_mse,10259.905357142854,0.5,10
0.8681802376734525,0.03892800975208896,5,2,friedman_mse,11656.234285714285,0.5,10
0.8681802376734525,0.03892800975208896,5,2,friedman_mse,13508.177857142859,0.5,10
0.889376388910641,0.028774091100326735,5,2,friedman_mse,7395.555571428571,0.8,10
0.889376388910641,0.028774091100326735,5,2,friedman_mse,8465.152999999998,0.8,10
0.889376388910641,0.028774091100326735,5,2,friedman_mse,10259.905357142854,0.8,10
0.889376388910641,0.028774091100326735,5,2,friedman_mse,11656.234285714285,0.8,10
0.889376388910641,0.028774091100326735,5,2,friedman_mse,13508.177857142859,0.8,10
0.8812244159678724,0.04284340150329611,5,2,friedman_mse,7395.555571428571,0.9,10
0.8812244159678724,0.04284340150329611,5,2,friedman_mse,8465.152999999998,0.9,10
0.8812244159678724,0.04284340150329611,5,2,friedman_mse,10259.905357142854,0.9,10
0.8812244159678724,0.04284340150329611,5,2,friedman_mse,11656.234285714285,0.9,10
0.8812244159678724,0.04284340150329611,5,2,friedman_mse,13508.177857142859,0.9,10
0.830105174476364,0.05360664311692916,5,5,mse,7395.555571428571,0.1,10
0.830105174476364,0.05360664311692916,5,5,mse,8465.152999999998,0.1,10
0.830105174476364,0.05360664311692916,5,5,mse,10259.905357142854,0.1,10
0.830105174476364,0.05360664311692916,5,5,mse,11656.234285714285,0.1,10
0.830105174476364,0.05360664311692916,5,5,mse,13508.177857142859,0.1,10
0.848098707863801,0.04922848242912703,5,5,mse,7395.555571428571,0.2,10
0.848098707863801,0.04922848242912703,5,5,mse,8465.152999999998,0.2,10
0.848098707863801,0.04922848242912703,5,5,mse,10259.905357142854,0.2,10
0.848098707863801,0.04922848242912703,5,5,mse,11656.234285714285,0.2,10
0.848098707863801,0.04922848242912703,5,5,mse,13508.177857142859,0.2,10
0.8772062407510957,0.03383561287924062,5,5,mse,7395.555571428571,0.5,10
0.8772062407510957,0.03383561287924062,5,5,mse,8465.152999999998,0.5,10
0.8772062407510957,0.03383561287924062,5,5,mse,10259.905357142854,0.5,10
0.8772062407510957,0.03383561287924062,5,5,mse,11656.234285714285,0.5,10
0.8772062407510957,0.03383561287924062,5,5,mse,13508.177857142859,0.5,10
0.8783437687556379,0.04489533400667491,5,5,mse,7395.555571428571,0.8,10
0.8783437687556379,0.04489533400667491,5,5,mse,8465.152999999998,0.8,10
0.8783437687556379,0.04489533400667491,5,5,mse,10259.905357142854,0.8,10
0.8783437687556379,0.04489533400667491,5,5,mse,11656.234285714285,0.8,10
