max_depth,min_samples_split,criterion,threshold,training_size,mean,std
5,5,entropy,11656.234285714285,0.1,0.8168307126926617,0.021458985187083873
5,5,entropy,13508.177857142859,0.1,0.8090710639161778,0.03954857920896419
5,5,entropy,7395.555571428571,0.2,0.8171445601709761,0.03151609010429055
5,5,entropy,8465.152999999998,0.2,0.8109311955606003,0.03531819676016793
5,5,entropy,10259.905357142854,0.2,0.8683115988358654,0.023103668044351072
5,5,entropy,11656.234285714285,0.2,0.8492673695973816,0.029240364362817284
5,5,entropy,13508.177857142859,0.2,0.8513874222436872,0.04707571118252842
5,5,entropy,7395.555571428571,0.5,0.8123490355212457,0.04995765662927785
5,5,entropy,8465.152999999998,0.5,0.8159700658023127,0.04323370729589035
5,5,entropy,10259.905357142854,0.5,0.90260546581971,0.014404374520689052
5,5,entropy,11656.234285714285,0.5,0.8485732909629562,0.03206532876993444
5,5,entropy,13508.177857142859,0.5,0.8687698217110638,0.08213520267785372
5,5,entropy,7395.555571428571,0.8,0.7679797817689156,0.05836017176137382
5,5,entropy,8465.152999999998,0.8,0.8468004786790673,0.018046197542944915
5,5,entropy,10259.905357142854,0.8,0.90853854309609,0.01476893374507404
5,5,entropy,11656.234285714285,0.8,0.8795361567352172,0.03271294636218993
5,5,entropy,13508.177857142859,0.8,0.8802731420659112,0.0395331772558668
5,5,entropy,7395.555571428571,0.9,0.8044965610377897,0.03185434070227355
5,5,entropy,8465.152999999998,0.9,0.8400868377293854,0.024546985920226933
5,5,entropy,10259.905357142854,0.9,0.9066777682827786,0.019378292561165116
5,5,entropy,11656.234285714285,0.9,0.8614769421595423,0.019503141828443524
5,5,entropy,13508.177857142859,0.9,0.8524245435260681,0.034544749265820476
5,10,gini,7395.555571428571,0.1,0.746432256778171,0.0535681469871761
5,10,gini,8465.152999999998,0.1,0.7909202284107535,0.03395428697841286
5,10,gini,10259.905357142854,0.1,0.859424628959135,0.016717431001944765
5,10,gini,11656.234285714285,0.1,0.817375112346937,0.05140545083222897
5,10,gini,13508.177857142859,0.1,0.7844743705781398,0.06831783935546484
5,10,gini,7395.555571428571,0.2,0.7971917995392107,0.03224328312998325
5,10,gini,8465.152999999998,0.2,0.8248818140925638,0.02664683824946468
5,10,gini,10259.905357142854,0.2,0.8809414086362682,0.012937184104956735
5,10,gini,11656.234285714285,0.2,0.85551682612147,0.018374517410720333
5,10,gini,13508.177857142859,0.2,0.841818610848091,0.0476853899544273
5,10,gini,7395.555571428571,0.5,0.7900258567655035,0.04105625067675264
5,10,gini,8465.152999999998,0.5,0.836486691463735,0.029021298263261972
5,10,gini,10259.905357142854,0.5,0.900804765348159,0.01755211478198775
5,10,gini,11656.234285714285,0.5,0.8713013091320885,0.018750029266495584
5,10,gini,13508.177857142859,0.5,0.8757378824123012,0.02966591937089493
5,10,gini,7395.555571428571,0.8,0.7850530634463322,0.024339869847140497
5,10,gini,8465.152999999998,0.8,0.8103134026433487,0.0282796456629862
5,10,gini,10259.905357142854,0.8,0.9105688614635745,0.013859936592379385
5,10,gini,11656.234285714285,0.8,0.8767439471547032,0.045491276341358786
5,10,gini,13508.177857142859,0.8,0.894810393094942,0.039314166818658895
5,10,gini,7395.555571428571,0.9,0.8094494379859108,0.0738726102971832
5,10,gini,8465.152999999998,0.9,0.8378322983631052,0.0488964702285261
5,10,gini,10259.905357142854,0.9,0.9109780163708496,0.001852247420463818
5,10,gini,11656.234285714285,0.9,0.8706387544286104,0.026848483330226595
5,10,gini,13508.177857142859,0.9,0.8996524383609756,0.06008029571241587
5,10,entropy,7395.555571428571,0.1,0.6973016151651527,0.03979990660015178
5,10,entropy,8465.152999999998,0.1,0.7652441562639017,0.06085546675698923
5,10,entropy,10259.905357142854,0.1,0.8642529499323712,0.014644003537077208
5,10,entropy,11656.234285714285,0.1,0.816062116688846,0.010523430501202205
5,10,entropy,13508.177857142859,0.1,0.7604363132739238,0.030100353695868342
5,10,entropy,7395.555571428571,0.2,0.77080766554252,0.0410727214935088
5,10,entropy,8465.152999999998,0.2,0.8020430165066441,0.02233906149744033
5,10,entropy,10259.905357142854,0.2,0.9011188943527081,0.006877709458718977
5,10,entropy,11656.234285714285,0.2,0.8685382473486966,0.01326628985295905
5,10,entropy,13508.177857142859,0.2,0.8057666760802423,0.05861783407499783
5,10,entropy,7395.555571428571,0.5,0.8054719007035352,0.043563100854624864
5,10,entropy,8465.152999999998,0.5,0.8275510442864574,0.028566530195349195
5,10,entropy,10259.905357142854,0.5,0.8945867497141489,0.01620695495078881
5,10,entropy,11656.234285714285,0.5,0.8717960472686828,0.03020515137198513
5,10,entropy,13508.177857142859,0.5,0.8703233441679924,0.014179355410566393
5,10,entropy,7395.555571428571,0.8,0.7548521639109003,0.020437234874835997
5,10,entropy,8465.152999999998,0.8,0.8418357760874443,0.048738412818875435
5,10,entropy,10259.905357142854,0.8,0.9068234389340464,0.006648212099262297
5,10,entropy,11656.234285714285,0.8,0.8810129528519871,0.038388538423945434
5,10,entropy,13508.177857142859,0.8,0.9061802512768296,0.013131087294018984
5,10,entropy,7395.555571428571,0.9,0.7482444095266081,0.04523208465158048
5,10,entropy,8465.152999999998,0.9,0.8676166971515089,0.033406227941422846
5,10,entropy,10259.905357142854,0.9,0.9073447977099189,0.006726374506775474
5,10,entropy,11656.234285714285,0.9,0.8679032442428415,0.033383120899713806
5,10,entropy,13508.177857142859,0.9,0.8875378529144576,0.04157507869951681
5,20,gini,7395.555571428571,0.1,0.7103859661253766,0.09572349149423026
5,20,gini,8465.152999999998,0.1,0.7670271462777485,0.04677679307122206
5,20,gini,10259.905357142854,0.1,0.8637059981256601,0.016098017105727346
5,20,gini,11656.234285714285,0.1,0.8221322657924258,0.03147859062831167
5,20,gini,13508.177857142859,0.1,0.7954555760359956,0.060436388040995756
5,20,gini,7395.555571428571,0.2,0.7664481000601293,0.033580188782244835
5,20,gini,8465.152999999998,0.2,0.8031063827257181,0.044202989707386606
5,20,gini,10259.905357142854,0.2,0.8730300315532042,0.010270761164572437
5,20,gini,11656.234285714285,0.2,0.8397895758586801,0.0362242335759688
5,20,gini,13508.177857142859,0.2,0.8083079931700325,0.04696473042973353
5,20,gini,7395.555571428571,0.5,0.7988091565812198,0.02880640538790892
5,20,gini,8465.152999999998,0.5,0.8021157650497827,0.04000904378687943
5,20,gini,10259.905357142854,0.5,0.8981985501327591,0.017075125508811604
5,20,gini,11656.234285714285,0.5,0.8821127760057694,0.01667989228219161
5,20,gini,13508.177857142859,0.5,0.8954791277123879,0.043200315393234504
5,20,gini,7395.555571428571,0.8,0.7973722859656517,0.054406300650675886
5,20,gini,8465.152999999998,0.8,0.8431347473144257,0.029333335354830906
5,20,gini,10259.905357142854,0.8,0.9173784124486233,0.007102130260490327
5,20,gini,11656.234285714285,0.8,0.8671738863597348,0.022155782423431483
5,20,gini,13508.177857142859,0.8,0.8896021782292658,0.03548167506190048
5,20,gini,7395.555571428571,0.9,0.7535615328353781,0.06680976633103766
5,20,gini,8465.152999999998,0.9,0.8597546398363903,0.03568280637324621
5,20,gini,10259.905357142854,0.9,0.9109870893403194,0.01698622708048817
5,20,gini,11656.234285714285,0.9,0.8696739794509399,0.035910666659960976
5,20,gini,13508.177857142859,0.9,0.914849794317346,0.03430773033484431
5,20,entropy,7395.555571428571,0.1,0.6987037931555283,0.052505082871133424
5,20,entropy,8465.152999999998,0.1,0.7424686376303649,0.040018117016728805
5,20,entropy,10259.905357142854,0.1,0.8541317825401844,0.03200180674355683
5,20,entropy,11656.234285714285,0.1,0.8397757514024897,0.03917936415409841
5,20,entropy,13508.177857142859,0.1,0.7256161366156959,0.09329796645000622
5,20,entropy,7395.555571428571,0.2,0.794099021665504,0.07912189072737356
5,20,entropy,8465.152999999998,0.2,0.7848370787208673,0.056049719110448315
5,20,entropy,10259.905357142854,0.2,0.8771188419595282,0.01376228889753841
5,20,entropy,11656.234285714285,0.2,0.8391591948412952,0.04257113643923701
5,20,entropy,13508.177857142859,0.2,0.7756630830443894,0.08008710949862724
5,20,entropy,7395.555571428571,0.5,0.7600780553337753,0.05475549250254664
5,20,entropy,8465.152999999998,0.5,0.8453339093086489,0.02769388114651281
5,20,entropy,10259.905357142854,0.5,0.8984431002465845,0.010063572966256085
5,20,entropy,11656.234285714285,0.5,0.8796260683114208,0.03027952793750583
5,20,entropy,13508.177857142859,0.5,0.8698174442956432,0.02709309953830587
5,20,entropy,7395.555571428571,0.8,0.7672237946074821,0.05360532201460246
5,20,entropy,8465.152999999998,0.8,0.8352093251202968,0.023897854823882368
5,20,entropy,10259.905357142854,0.8,0.8963505131857243,0.0263530021781835
5,20,entropy,11656.234285714285,0.8,0.8648044901954478,0.036412044546966255
5,20,entropy,13508.177857142859,0.8,0.8517247963209865,0.04401247137014943
5,20,entropy,7395.555571428571,0.9,0.7840704116026062,0.046590839993286774
5,20,entropy,8465.152999999998,0.9,0.8266358838291156,0.05584824628371368
5,20,entropy,10259.905357142854,0.9,0.9096800607337233,0.01671025869939013
5,20,entropy,11656.234285714285,0.9,0.8831258093398926,0.03413149888861383
5,20,entropy,13508.177857142859,0.9,0.8579080898503249,0.053083085040304324
5,50,gini,7395.555571428571,0.1,0.589953589755285,0.12396411928358601
5,50,gini,8465.152999999998,0.1,0.7375952347233571,0.060384061444882904
5,50,gini,10259.905357142854,0.1,0.824144714319152,0.042043566247838074
5,50,gini,11656.234285714285,0.1,0.736913671664174,0.08045227509599578
5,50,gini,13508.177857142859,0.1,0.6887030192969219,0.11549869390977606
5,50,gini,7395.555571428571,0.2,0.6974545805140304,0.02860352100635673
5,50,gini,8465.152999999998,0.2,0.79127921577993,0.03932090101390514
5,50,gini,10259.905357142854,0.2,0.8542288670704055,0.009162775472459415
5,50,gini,11656.234285714285,0.2,0.839168025837122,0.06503902637677421
5,50,gini,13508.177857142859,0.2,0.7159998423754007,0.0850223378119484
5,50,gini,7395.555571428571,0.5,0.7713224054598642,0.06219143839858133
5,50,gini,8465.152999999998,0.5,0.8116075477862962,0.029163997012934904
5,50,gini,10259.905357142854,0.5,0.8969574235489723,0.012806431030378746
5,50,gini,11656.234285714285,0.5,0.8787025557583243,0.03877040969368166
5,50,gini,13508.177857142859,0.5,0.9001657847208101,0.025077853095755085
5,50,gini,7395.555571428571,0.8,0.766291527930924,0.05107142674263544
5,50,gini,8465.152999999998,0.8,0.8351681137124345,0.022108477647975265
5,50,gini,10259.905357142854,0.8,0.9159796236311097,0.011127662020678214
5,50,gini,11656.234285714285,0.8,0.8789548177183846,0.03579248147493795
5,50,gini,13508.177857142859,0.8,0.9029983342632937,0.03039032607850773
5,50,gini,7395.555571428571,0.9,0.7969615663669245,0.07683801625453719
5,50,gini,8465.152999999998,0.9,0.8033245123598526,0.05721424330094377
5,50,gini,10259.905357142854,0.9,0.9060193195040263,0.020295508116692153
5,50,gini,11656.234285714285,0.9,0.8779235641052928,0.033263737419245175
5,50,gini,13508.177857142859,0.9,0.8913409630354432,0.03520296451683656
5,50,entropy,7395.555571428571,0.1,0.6367004718722675,0.13107762953235272
5,50,entropy,8465.152999999998,0.1,0.6918699791382604,0.03394135238408681
5,50,entropy,10259.905357142854,0.1,0.8211490481269758,0.03191592615113434
5,50,entropy,11656.234285714285,0.1,0.7590108607546202,0.0538757178488449
5,50,entropy,13508.177857142859,0.1,0.6835146446769661,0.11186854290470016
5,50,entropy,7395.555571428571,0.2,0.7536187963318541,0.11513785551939767
5,50,entropy,8465.152999999998,0.2,0.7780588552694909,0.01580675263578118
5,50,entropy,10259.905357142854,0.2,0.8472761856603059,0.019881357684393808
5,50,entropy,11656.234285714285,0.2,0.8387812591764148,0.033849457554676
5,50,entropy,13508.177857142859,0.2,0.7339860550617681,0.042959436097638866
