max_depth,min_samples_split,criterion,threshold,training_size,gap,n_options,mean,std
5,2,mse,960.0,0.1,2640.0,1,0.5,0.0
5,2,mse,960.0,0.1,2640.0,2,0.517183598734729,0.04228279390155819
5,2,mse,960.0,0.1,2640.0,3,0.6269760871610817,0.11663825207133874
5,2,mse,960.0,0.1,2640.0,4,0.7097792427970062,0.11229729366832533
5,2,mse,960.0,0.1,2640.0,5,0.7444280176892555,0.13251996635548607
5,2,mse,960.0,0.1,2640.0,6,0.7275961717316861,0.1417372483797313
5,2,mse,960.0,0.1,2640.0,7,0.8148489878903125,0.08506807288950728
5,2,mse,960.0,0.1,2640.0,8,0.7272272501955799,0.12258208044791491
5,2,mse,960.0,0.1,1427.65625,1,0.5,0.0
5,2,mse,960.0,0.1,1427.65625,2,0.5062826086956521,0.028096680239019102
5,2,mse,960.0,0.1,1427.65625,3,0.5958815421702395,0.11345883921351747
5,2,mse,960.0,0.1,1427.65625,4,0.7408490292178354,0.12542960916923113
5,2,mse,960.0,0.1,1427.65625,5,0.789428117257863,0.1209531167363464
5,2,mse,960.0,0.1,1427.65625,6,0.7379454426887596,0.12123870555444378
5,2,mse,960.0,0.1,1427.65625,7,0.7063511711772961,0.14471500290350245
5,2,mse,960.0,0.1,1427.65625,8,0.7820964136182208,0.11236025401934562
5,2,mse,960.0,0.1,713.828125,1,0.5,0.0
5,2,mse,960.0,0.1,713.828125,2,0.5248788055636611,0.05120025685033706
5,2,mse,960.0,0.1,713.828125,3,0.6118690720268387,0.11042044499403166
5,2,mse,960.0,0.1,713.828125,4,0.7659207694116301,0.11546258804646278
5,2,mse,960.0,0.1,713.828125,5,0.7985852181963596,0.10893385642952
5,2,mse,960.0,0.1,713.828125,6,0.6889980189368783,0.13678884129403965
5,2,mse,960.0,0.1,713.828125,7,0.7717753701234797,0.12471732032422492
5,2,mse,960.0,0.1,713.828125,8,0.7788741156284325,0.12137221817709885
5,2,mse,960.0,0.1,356.9140625,1,0.5,0.0
5,2,mse,960.0,0.1,356.9140625,2,0.5069674520960996,0.026381104578455494
5,2,mse,960.0,0.1,356.9140625,3,0.684032283361691,0.12396952454940861
5,2,mse,960.0,0.1,356.9140625,4,0.7360805178163567,0.12851202109525978
5,2,mse,960.0,0.1,356.9140625,5,0.7705185869012321,0.12052894489990573
5,2,mse,960.0,0.1,356.9140625,6,0.7657153280376059,0.14103129520022414
5,2,mse,960.0,0.1,356.9140625,7,0.7589085674017224,0.14550402822386155
5,2,mse,960.0,0.1,356.9140625,8,0.7501614343908021,0.12347141628558946
5,2,mse,1020.0,0.1,2640.0,1,0.5,0.0
5,2,mse,1020.0,0.1,2640.0,2,0.5156025325759999,0.038256618052787
5,2,mse,1020.0,0.1,2640.0,3,0.7431735510203741,0.15254391990025018
5,2,mse,1020.0,0.1,2640.0,4,0.7924674457630334,0.12832600982694597
5,2,mse,1020.0,0.1,2640.0,5,0.7776509211337829,0.08745756466606858
5,2,mse,1020.0,0.1,2640.0,6,0.8087203146809848,0.11035590139151744
5,2,mse,1020.0,0.1,2640.0,7,0.8031033815400386,0.08681084627273336
5,2,mse,1020.0,0.1,2640.0,8,0.8002950055065472,0.09744272878224944
5,2,mse,1020.0,0.1,1427.65625,1,0.5,0.0
5,2,mse,1020.0,0.1,1427.65625,2,0.5241764933031623,0.04343561541583779
5,2,mse,1020.0,0.1,1427.65625,3,0.7062122387901908,0.125315682901264
5,2,mse,1020.0,0.1,1427.65625,4,0.8082095300418726,0.11363725709767346
5,2,mse,1020.0,0.1,1427.65625,5,0.8037837404414138,0.08169614673694994
5,2,mse,1020.0,0.1,1427.65625,6,0.8115544135097597,0.06905924409349196
5,2,mse,1020.0,0.1,1427.65625,7,0.7900184390130067,0.08559371205492737
5,2,mse,1020.0,0.1,1427.65625,8,0.8092428151807359,0.08588825693781436
5,2,mse,1020.0,0.1,713.828125,1,0.5,0.0
5,2,mse,1020.0,0.1,713.828125,2,0.5159755811986235,0.04011073600596926
5,2,mse,1020.0,0.1,713.828125,3,0.6618774995064503,0.12440600042405152
5,2,mse,1020.0,0.1,713.828125,4,0.7622931514571777,0.10855606640909661
5,2,mse,1020.0,0.1,713.828125,5,0.8106302589783976,0.12453213812631332
5,2,mse,1020.0,0.1,713.828125,6,0.807234202410433,0.10649813755702064
5,2,mse,1020.0,0.1,713.828125,7,0.8164422638993747,0.08429566520148193
5,2,mse,1020.0,0.1,713.828125,8,0.821003915749014,0.06644420137777825
5,2,mse,1020.0,0.1,356.9140625,1,0.5,0.0
5,2,mse,1020.0,0.1,356.9140625,2,0.5196849752839217,0.04055646639570251
5,2,mse,1020.0,0.1,356.9140625,3,0.6879328224053123,0.14583536807536363
5,2,mse,1020.0,0.1,356.9140625,4,0.7888573363613887,0.09411932497427411
5,2,mse,1020.0,0.1,356.9140625,5,0.7880097262926571,0.1084271986452237
5,2,mse,1020.0,0.1,356.9140625,6,0.7948251375342714,0.09597629346556799
5,2,mse,1020.0,0.1,356.9140625,7,0.7944742344535263,0.1244463326351423
5,2,mse,1020.0,0.1,356.9140625,8,0.7642602233972424,0.1301243565541596
5,2,mse,1215.0,0.1,2640.0,1,0.5,0.0
5,2,mse,1215.0,0.1,2640.0,2,0.6166807796372602,0.08809539946011816
5,2,mse,1215.0,0.1,2640.0,3,0.812172271152319,0.04070212553546081
5,2,mse,1215.0,0.1,2640.0,4,0.8027550969892369,0.05261351216744681
5,2,mse,1215.0,0.1,2640.0,5,0.8316286233811561,0.05136426337519115
5,2,mse,1215.0,0.1,2640.0,6,0.7891387128577751,0.09378869873598729
5,2,mse,1215.0,0.1,2640.0,7,0.791506803802746,0.07320460879426387
5,2,mse,1215.0,0.1,2640.0,8,0.8084975946402372,0.04946456245698209
5,2,mse,1215.0,0.1,1427.65625,1,0.5697801309681836,0.124052624206942
5,2,mse,1215.0,0.1,1427.65625,2,0.6555357706101457,0.06953956222410351
5,2,mse,1215.0,0.1,1427.65625,3,0.8066897922740501,0.03590286147264574
5,2,mse,1215.0,0.1,1427.65625,4,0.7913554127355673,0.05469950586546859
5,2,mse,1215.0,0.1,1427.65625,5,0.7949608965549974,0.07779173684398434
5,2,mse,1215.0,0.1,1427.65625,6,0.7955249226444591,0.06947684249141407
5,2,mse,1215.0,0.1,1427.65625,7,0.7973505439458253,0.0756770641081991
5,2,mse,1215.0,0.1,1427.65625,8,0.7861304451207936,0.08805626212581927
5,2,mse,1215.0,0.1,713.828125,1,0.5845925678214494,0.13265977008241994
5,2,mse,1215.0,0.1,713.828125,2,0.6467227013245193,0.08715011273595538
5,2,mse,1215.0,0.1,713.828125,3,0.7762785212641967,0.043440598715444464
5,2,mse,1215.0,0.1,713.828125,4,0.8015793610338298,0.06141215699528908
5,2,mse,1215.0,0.1,713.828125,5,0.8122029249908133,0.05869924494941666
5,2,mse,1215.0,0.1,713.828125,6,0.8283954969780114,0.0532080813392603
5,2,mse,1215.0,0.1,713.828125,7,0.802110618031133,0.0663319718511324
5,2,mse,1215.0,0.1,713.828125,8,0.7642175152506626,0.0672677620830117
5,2,mse,1215.0,0.1,356.9140625,1,0.6719404455709703,0.144162021738451
5,2,mse,1215.0,0.1,356.9140625,2,0.7052197732819261,0.09107936910155501
5,2,mse,1215.0,0.1,356.9140625,3,0.7894154393700081,0.039152035132850746
5,2,mse,1215.0,0.1,356.9140625,4,0.8174629050527227,0.02613303009553347
5,2,mse,1215.0,0.1,356.9140625,5,0.8044949328650775,0.08947595096892001
