mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.831515930563375,0.10219680490798876,5,2,mse,960.0,0.1,3
0.8378958927681281,0.06756613875092642,5,2,mse,1020.0,0.1,3
0.8356847606743099,0.03369310018148098,5,2,mse,1215.0,0.1,3
0.8194891543028966,0.07996486563386043,5,2,mse,1974.0000000000005,0.1,3
0.7153631470658556,0.1408583456439363,5,2,mse,2160.0,0.1,3
0.8422447957926046,0.06908587064999039,5,2,mse,960.0,0.2,3
0.8561075341771758,0.03389124266697612,5,2,mse,1020.0,0.2,3
0.8317184645470883,0.03729260954467219,5,2,mse,1215.0,0.2,3
0.882338464959599,0.047788817992057885,5,2,mse,1974.0000000000005,0.2,3
0.7593561303380179,0.10424270329702082,5,2,mse,2160.0,0.2,3
0.8865355259808746,0.08513999478257041,5,2,mse,960.0,0.5,3
0.8648036837769091,0.03671558833999806,5,2,mse,1020.0,0.5,3
0.8650917463069767,0.031437154159144186,5,2,mse,1215.0,0.5,3
0.8932899565496119,0.05485264002761304,5,2,mse,1974.0000000000005,0.5,3
0.8683224533857524,0.07982174504110602,5,2,mse,2160.0,0.5,3
0.911177948644268,0.07481977360374184,5,2,mse,960.0,0.7,3
0.8733751320770657,0.05052106650566949,5,2,mse,1020.0,0.7,3
0.8734660682137145,0.0476150883757253,5,2,mse,1215.0,0.7,3
0.8973248533026652,0.03885583472500158,5,2,mse,1974.0000000000005,0.7,3
0.8721828528104589,0.08058832848224098,5,2,mse,2160.0,0.7,3
0.7339959065214026,0.11581182579410278,5,2,friedman_mse,960.0,0.1,3
0.7708879886180515,0.10243756609671031,5,2,friedman_mse,1020.0,0.1,3
0.7628256506680984,0.0601310737971444,5,2,friedman_mse,1215.0,0.1,3
0.8074612630420519,0.09723435271526636,5,2,friedman_mse,1974.0000000000005,0.1,3
0.696514593207996,0.14218360605823013,5,2,friedman_mse,2160.0,0.1,3
0.8263811734902825,0.07213187576483178,5,2,friedman_mse,960.0,0.2,3
0.8474880056292969,0.04615021314951841,5,2,friedman_mse,1020.0,0.2,3
0.8341104742240837,0.033518761779795625,5,2,friedman_mse,1215.0,0.2,3
0.8449371174412368,0.08667272196085932,5,2,friedman_mse,1974.0000000000005,0.2,3
0.7834699247044236,0.11843471044702435,5,2,friedman_mse,2160.0,0.2,3
0.8628799056192639,0.08805385701496597,5,2,friedman_mse,960.0,0.5,3
0.8657740510422702,0.03156654038221433,5,2,friedman_mse,1020.0,0.5,3
0.8558451679022637,0.02866626734586249,5,2,friedman_mse,1215.0,0.5,3
0.8789508079669262,0.04844649764367766,5,2,friedman_mse,1974.0000000000005,0.5,3
0.8219398334222445,0.10100017106377368,5,2,friedman_mse,2160.0,0.5,3
0.9227003747576005,0.06470085804421179,5,2,friedman_mse,960.0,0.7,3
0.8925299929079726,0.043472718790041436,5,2,friedman_mse,1020.0,0.7,3
0.8735378295980659,0.0395046544781368,5,2,friedman_mse,1215.0,0.7,3
0.8844651853192624,0.05004399681362802,5,2,friedman_mse,1974.0000000000005,0.7,3
0.854997388220216,0.07748547355004584,5,2,friedman_mse,2160.0,0.7,3
0.6893010589589614,0.17632576660701335,5,5,mse,960.0,0.1,3
0.8154197436579562,0.09856501187009863,5,5,mse,1020.0,0.1,3
0.7752123194207277,0.07022477294783223,5,5,mse,1215.0,0.1,3
0.7902462282840957,0.10166154275602994,5,5,mse,1974.0000000000005,0.1,3
0.7262237369609115,0.16769011394809052,5,5,mse,2160.0,0.1,3
0.8157808679238521,0.06436117186216722,5,5,mse,960.0,0.2,3
0.8289996681928027,0.06747788543130805,5,5,mse,1020.0,0.2,3
0.8436097431883894,0.040234268284119384,5,5,mse,1215.0,0.2,3
0.8489854298001388,0.08613518108387136,5,5,mse,1974.0000000000005,0.2,3
0.7150381750063429,0.11585439139725538,5,5,mse,2160.0,0.2,3
0.8227130698257616,0.07955312151353135,5,5,mse,960.0,0.5,3
