max_depth,min_samples_split,criterion,n_options,training_size,threshold,gap,mean
8,2,mse,9468,0.1,86467304,mean,0.903557591409664
8,2,mse,9468,0.1,86467304,half_mean,0.908312854821292
8,2,mse,9468,0.1,86467304,half_mean,0.9088763341137482
8,2,mse,9468,0.1,86467304,half_mean,0.9192653302415816
8,2,mse,9468,0.1,86467304,half_mean,0.8982735838624664
8,2,mse,9468,0.1,86467304,half_mean,0.896385865394918
8,2,mse,9468,0.1,86467304,quarter_mean,0.9058597492075521
8,2,mse,9468,0.1,86467304,quarter_mean,0.915418495808728
8,2,mse,9468,0.1,86467304,quarter_mean,0.8987185155773656
8,2,mse,9468,0.1,86467304,quarter_mean,0.9204976888028116
8,2,mse,9468,0.1,86467304,quarter_mean,0.9069240480214896
8,2,mse,9468,0.2,18760656,max,0.5029801748220694
8,2,mse,9468,0.2,18760656,max,0.5036261299341271
8,2,mse,9468,0.2,18760656,max,0.5132908965148434
8,2,mse,9468,0.2,18760656,max,0.5070795768382751
8,2,mse,9468,0.2,18760656,max,0.5038556527294149
8,2,mse,9468,0.2,18760656,mean,0.5
8,2,mse,9468,0.2,18760656,mean,0.5003941705596056
8,2,mse,9468,0.2,18760656,mean,0.500149951977383
8,2,mse,9468,0.2,18760656,mean,0.500486261058901
8,2,mse,9468,0.2,18760656,mean,0.5000811969217616
8,2,mse,9468,0.2,18760656,half_mean,0.6546725798038808
8,2,mse,9468,0.2,18760656,half_mean,0.5
8,2,mse,9468,0.2,18760656,half_mean,0.5
8,2,mse,9468,0.2,18760656,half_mean,0.5
8,2,mse,9468,0.2,18760656,half_mean,0.5
8,2,mse,9468,0.2,18760656,quarter_mean,0.5
8,2,mse,9468,0.2,18760656,quarter_mean,0.6685293645685355
8,2,mse,9468,0.2,18760656,quarter_mean,0.5
8,2,mse,9468,0.2,18760656,quarter_mean,0.6681089808963371
8,2,mse,9468,0.2,18760656,quarter_mean,0.5
8,2,mse,9468,0.2,21436619,max,0.5035595353673811
8,2,mse,9468,0.2,21436619,max,0.5009448706025892
8,2,mse,9468,0.2,21436619,max,0.4996920223818515
8,2,mse,9468,0.2,21436619,max,0.5009270439605691
8,2,mse,9468,0.2,21436619,max,0.5001315247506853
8,2,mse,9468,0.2,21436619,mean,0.4999154125296438
8,2,mse,9468,0.2,21436619,mean,0.5002453282065967
8,2,mse,9468,0.2,21436619,mean,0.499949293489284
8,2,mse,9468,0.2,21436619,mean,0.4998139295264629
8,2,mse,9468,0.2,21436619,mean,0.4999491518694406
8,2,mse,9468,0.2,21436619,half_mean,0.4999662264851903
8,2,mse,9468,0.2,21436619,half_mean,0.7573467991486532
8,2,mse,9468,0.2,21436619,half_mean,0.5003868716708378
8,2,mse,9468,0.2,21436619,half_mean,0.7532330482532995
8,2,mse,9468,0.2,21436619,half_mean,0.5002258062271618
8,2,mse,9468,0.2,21436619,quarter_mean,0.6840682631627579
8,2,mse,9468,0.2,21436619,quarter_mean,0.7821118048835449
8,2,mse,9468,0.2,21436619,quarter_mean,0.6820116159850811
8,2,mse,9468,0.2,21436619,quarter_mean,0.7777381029037687
8,2,mse,9468,0.2,21436619,quarter_mean,0.7075621956811329
8,2,mse,9468,0.2,31443996,max,0.4982569401016974
8,2,mse,9468,0.2,31443996,max,0.4976785911448681
8,2,mse,9468,0.2,31443996,max,0.5002556273334585
8,2,mse,9468,0.2,31443996,max,0.4983253127949848
8,2,mse,9468,0.2,31443996,max,0.4978222075017187
8,2,mse,9468,0.2,31443996,mean,0.8102004576977163
8,2,mse,9468,0.2,31443996,mean,0.8576392656852634
8,2,mse,9468,0.2,31443996,mean,0.7829196673732137
8,2,mse,9468,0.2,31443996,mean,0.7983081325832301
8,2,mse,9468,0.2,31443996,mean,0.7699561196710847
8,2,mse,9468,0.2,31443996,half_mean,0.7709821907266048
8,2,mse,9468,0.2,31443996,half_mean,0.7756680601874603
8,2,mse,9468,0.2,31443996,half_mean,0.8819108381501365
8,2,mse,9468,0.2,31443996,half_mean,0.8647281784963929
8,2,mse,9468,0.2,31443996,half_mean,0.8628925882153591
8,2,mse,9468,0.2,31443996,quarter_mean,0.8836468828371615
8,2,mse,9468,0.2,31443996,quarter_mean,0.8657954967674144
8,2,mse,9468,0.2,31443996,quarter_mean,0.8666452752989915
8,2,mse,9468,0.2,31443996,quarter_mean,0.8700360632714987
8,2,mse,9468,0.2,31443996,quarter_mean,0.8860226213521586
8,2,mse,9468,0.2,54346448,max,0.8767929072170435
8,2,mse,9468,0.2,54346448,max,0.8157435579605844
8,2,mse,9468,0.2,54346448,max,0.8473497788630551
8,2,mse,9468,0.2,54346448,max,0.8439010795731741
8,2,mse,9468,0.2,54346448,max,0.8423377033049271
8,2,mse,9468,0.2,54346448,mean,0.9349009192991552
8,2,mse,9468,0.2,54346448,mean,0.9297204280849972
8,2,mse,9468,0.2,54346448,mean,0.931939390529364
8,2,mse,9468,0.2,54346448,mean,0.9347583530291452
8,2,mse,9468,0.2,54346448,mean,0.9306969568328852
8,2,mse,9468,0.2,54346448,half_mean,0.92991545459285
8,2,mse,9468,0.2,54346448,half_mean,0.9347502877283259
8,2,mse,9468,0.2,54346448,half_mean,0.9348886478630142
8,2,mse,9468,0.2,54346448,half_mean,0.9349760384678664
8,2,mse,9468,0.2,54346448,half_mean,0.9270839016116704
8,2,mse,9468,0.2,54346448,quarter_mean,0.9276047777315604
8,2,mse,9468,0.2,54346448,quarter_mean,0.9265101786644009
8,2,mse,9468,0.2,54346448,quarter_mean,0.9318662463105568
8,2,mse,9468,0.2,54346448,quarter_mean,0.93024881111518
8,2,mse,9468,0.2,54346448,quarter_mean,0.9334350220025672
8,2,mse,9468,0.2,86467304,max,0.9097957503659816
8,2,mse,9468,0.2,86467304,max,0.9218478920981515
8,2,mse,9468,0.2,86467304,max,0.913761851851944
8,2,mse,9468,0.2,86467304,max,0.9044137053051968
8,2,mse,9468,0.2,86467304,max,0.9085284902233329
8,2,mse,9468,0.2,86467304,mean,0.9317228424176204
8,2,mse,9468,0.2,86467304,mean,0.9275059719366544
8,2,mse,9468,0.2,86467304,mean,0.9261901626642071
8,2,mse,9468,0.2,86467304,mean,0.9319292470888147
8,2,mse,9468,0.2,86467304,mean,0.9297388205201104
8,2,mse,9468,0.2,86467304,half_mean,0.9312086137168464
8,2,mse,9468,0.2,86467304,half_mean,0.92766817994637
8,2,mse,9468,0.2,86467304,half_mean,0.9331037460471864
8,2,mse,9468,0.2,86467304,half_mean,0.9212575486659592
8,2,mse,9468,0.2,86467304,half_mean,0.9181748303051224
8,2,mse,9468,0.2,86467304,quarter_mean,0.9226576701801884
8,2,mse,9468,0.2,86467304,quarter_mean,0.918218536984364
8,2,mse,9468,0.2,86467304,quarter_mean,0.9203366881804798
8,2,mse,9468,0.2,86467304,quarter_mean,0.9060805108629204
8,2,mse,9468,0.2,86467304,quarter_mean,0.9299645828689368
8,2,mse,9468,0.5,18760656,max,0.500406859036729
8,2,mse,9468,0.5,18760656,max,0.5000668409448054
8,2,mse,9468,0.5,18760656,max,0.5009239752717001
8,2,mse,9468,0.5,18760656,max,0.500141877927604
8,2,mse,9468,0.5,18760656,max,0.5007185057294389
8,2,mse,9468,0.5,18760656,mean,0.4999639847295253
8,2,mse,9468,0.5,18760656,mean,0.5
8,2,mse,9468,0.5,18760656,mean,0.4999639587688315
8,2,mse,9468,0.5,18760656,mean,0.4999770095048806
8,2,mse,9468,0.5,18760656,mean,0.4999519773333013
8,2,mse,9468,0.5,18760656,half_mean,0.5
8,2,mse,9468,0.5,18760656,half_mean,0.6506988550886771
8,2,mse,9468,0.5,18760656,half_mean,0.5
8,2,mse,9468,0.5,18760656,half_mean,0.5
8,2,mse,9468,0.5,18760656,half_mean,0.5
8,2,mse,9468,0.5,18760656,quarter_mean,0.6742898069096275
8,2,mse,9468,0.5,18760656,quarter_mean,0.6267128154839603
8,2,mse,9468,0.5,18760656,quarter_mean,0.6771035272627964
8,2,mse,9468,0.5,18760656,quarter_mean,0.6506988550886771
8,2,mse,9468,0.5,18760656,quarter_mean,0.5
8,2,mse,9468,0.5,21436619,max,0.5003229812419192
8,2,mse,9468,0.5,21436619,max,0.5003095193974073
8,2,mse,9468,0.5,21436619,max,0.5009893552517509
8,2,mse,9468,0.5,21436619,max,0.50017821791615
8,2,mse,9468,0.5,21436619,max,0.5001672167295986
8,2,mse,9468,0.5,21436619,mean,0.5
8,2,mse,9468,0.5,21436619,mean,0.5
8,2,mse,9468,0.5,21436619,mean,0.4999187938175026
8,2,mse,9468,0.5,21436619,mean,0.5
8,2,mse,9468,0.5,21436619,mean,0.5
