max_depth,min_samples_split,criterion,n_options,training_size,threshold,mean
18,2,mse,9468,0.1,18760656,0.7901121278351406
18,2,mse,9468,0.1,18760656,0.7901121278351406
18,2,mse,9468,0.1,18760656,0.7901121278351406
18,2,mse,9468,0.1,18760656,0.7901121278351406
18,2,mse,9468,0.1,18760656,0.7901121278351406
18,2,mse,9468,0.1,21436619,0.8694562354433434
18,2,mse,9468,0.1,21436619,0.8694562354433434
18,2,mse,9468,0.1,21436619,0.8694562354433434
18,2,mse,9468,0.1,21436619,0.8694562354433434
18,2,mse,9468,0.1,21436619,0.8694562354433434
18,2,mse,9468,0.1,31443996,0.8963944248488129
18,2,mse,9468,0.1,31443996,0.8963944248488129
18,2,mse,9468,0.1,31443996,0.8963944248488129
18,2,mse,9468,0.1,31443996,0.8963944248488129
18,2,mse,9468,0.1,31443996,0.8963944248488129
18,2,mse,9468,0.1,54346448,0.9073788495648094
18,2,mse,9468,0.1,54346448,0.9073788495648094
18,2,mse,9468,0.1,54346448,0.9073788495648094
18,2,mse,9468,0.1,54346448,0.9073788495648094
18,2,mse,9468,0.1,54346448,0.9073788495648094
18,2,mse,9468,0.1,86467304,0.8823421566934759
18,2,mse,9468,0.1,86467304,0.8823421566934759
18,2,mse,9468,0.1,86467304,0.8823421566934759
18,2,mse,9468,0.1,86467304,0.8823421566934759
18,2,mse,9468,0.1,86467304,0.8823421566934759
18,2,mse,9468,0.2,18760656,0.8404747082039097
18,2,mse,9468,0.2,18760656,0.8404747082039097
18,2,mse,9468,0.2,18760656,0.8404747082039097
18,2,mse,9468,0.2,18760656,0.8404747082039097
18,2,mse,9468,0.2,21436619,0.8774089507146162
18,2,mse,9468,0.2,18760656,0.8404747082039097
18,2,mse,9468,0.2,21436619,0.8774089507146162
18,2,mse,9468,0.2,21436619,0.8774089507146162
18,2,mse,9468,0.2,21436619,0.8774089507146162
18,2,mse,9468,0.2,21436619,0.8774089507146162
18,2,mse,9468,0.2,31443996,0.9098533155795484
18,2,mse,9468,0.2,31443996,0.9098533155795484
18,2,mse,9468,0.2,31443996,0.9098533155795484
18,2,mse,9468,0.2,31443996,0.9098533155795484
18,2,mse,9468,0.2,31443996,0.9098533155795484
18,2,mse,9468,0.2,54346448,0.9139171065539295
18,2,mse,9468,0.2,54346448,0.9139171065539295
18,2,mse,9468,0.2,54346448,0.9139171065539295
18,2,mse,9468,0.2,54346448,0.9139171065539295
18,2,mse,9468,0.2,54346448,0.9139171065539295
18,2,mse,9468,0.2,86467304,0.9092708647487056
18,2,mse,9468,0.2,86467304,0.9092708647487056
18,2,mse,9468,0.2,86467304,0.9092708647487056
18,2,mse,9468,0.2,86467304,0.9092708647487056
18,2,mse,9468,0.2,86467304,0.9092708647487056
18,2,mse,9468,0.5,18760656,0.8610251678415429
18,2,mse,9468,0.5,18760656,0.8610251678415429
18,2,mse,9468,0.5,18760656,0.8610251678415429
18,2,mse,9468,0.5,18760656,0.8610251678415429
18,2,mse,9468,0.5,18760656,0.8610251678415429
18,2,mse,9468,0.5,21436619,0.8888544889730668
18,2,mse,9468,0.5,21436619,0.8888544889730668
18,2,mse,9468,0.5,21436619,0.8888544889730668
18,2,mse,9468,0.5,21436619,0.8888544889730668
18,2,mse,9468,0.5,21436619,0.8888544889730668
18,2,mse,9468,0.5,31443996,0.9193268281053264
18,2,mse,9468,0.5,31443996,0.9193268281053264
18,2,mse,9468,0.5,31443996,0.9193268281053264
18,2,mse,9468,0.5,31443996,0.9193268281053264
18,2,mse,9468,0.5,31443996,0.9193268281053264
18,2,mse,9468,0.5,54346448,0.9233159141715336
18,2,mse,9468,0.5,54346448,0.9233159141715336
18,2,mse,9468,0.5,54346448,0.9233159141715336
18,2,mse,9468,0.5,54346448,0.9233159141715336
18,2,mse,9468,0.5,54346448,0.9233159141715336
18,2,mse,9468,0.5,86467304,0.9213505442456564
18,2,mse,9468,0.5,86467304,0.9213505442456564
18,2,mse,9468,0.5,86467304,0.9213505442456564
18,2,mse,9468,0.5,86467304,0.9213505442456564
18,2,mse,9468,0.5,86467304,0.9213505442456564
18,2,mse,9468,0.7,18760656,0.8603465341242373
18,2,mse,9468,0.7,18760656,0.8603465341242373
18,2,mse,9468,0.7,18760656,0.8603465341242373
18,2,mse,9468,0.7,21436619,0.893345597427222
18,2,mse,9468,0.7,18760656,0.8603465341242373
18,2,mse,9468,0.7,18760656,0.8603465341242373
18,2,mse,9468,0.7,21436619,0.893345597427222
18,2,mse,9468,0.7,21436619,0.893345597427222
18,2,mse,9468,0.7,31443996,0.9252339425786728
18,2,mse,9468,0.7,21436619,0.893345597427222
18,2,mse,9468,0.7,21436619,0.893345597427222
18,2,mse,9468,0.7,31443996,0.9252339425786728
18,2,mse,9468,0.7,31443996,0.9252339425786728
18,2,mse,9468,0.7,54346448,0.9305042419266556
18,2,mse,9468,0.7,31443996,0.9252339425786728
18,2,mse,9468,0.7,31443996,0.9252339425786728
18,2,mse,9468,0.7,54346448,0.9305042419266556
18,2,mse,9468,0.7,54346448,0.9305042419266556
18,2,mse,9468,0.7,86467304,0.9247330018874004
18,2,mse,9468,0.7,54346448,0.9305042419266556
18,2,mse,9468,0.7,54346448,0.9305042419266556
18,2,mse,9468,0.7,86467304,0.9247330018874004
18,2,mse,9468,0.7,86467304,0.9247330018874004
18,2,mse,9468,0.7,86467304,0.9247330018874004
18,2,mse,9468,0.7,86467304,0.9247330018874004
18,2,friedman_mse,9468,0.1,18760656,0.7858247590948909
18,2,friedman_mse,9468,0.1,18760656,0.7858247590948909
18,2,friedman_mse,9468,0.1,18760656,0.7858247590948909
18,2,friedman_mse,9468,0.1,18760656,0.7858247590948909
18,2,friedman_mse,9468,0.1,18760656,0.7858247590948909
18,2,friedman_mse,9468,0.1,21436619,0.8697098346922632
18,2,friedman_mse,9468,0.1,21436619,0.8697098346922632
18,2,friedman_mse,9468,0.1,21436619,0.8697098346922632
